,index,current_price,market_cap,total_volume,date
0,aed,111183.21985039624,2116432295241.3513,214398584719.82523,10-05-2022
1,ars,3533624.118604579,67264432653789.85,6814013940053.757,10-05-2022
2,aud,43512.07720635057,828275755608.3429,83905896805.41692,10-05-2022
3,bch,136.2214302068665,2593048074.895725,262680662.46112177,10-05-2022
4,bdt,2627546.5315579623,50016759220693.25,5066792078962.31,10-05-2022
5,bhd,11412.148865627623,217236381981.1626,22006455368.847652,10-05-2022
6,bmd,30269.586956629482,576197842487.6378,58369928594.32748,10-05-2022
7,bnb,100.56758596114445,1914358003.5640447,193928077.70607024,10-05-2022
8,brl,156263.7157049046,2974563742058.1924,301328919375.3573,10-05-2022
9,btc,1.0,19035537.0,1928349.6970848795,10-05-2022
10,cad,39385.42441655331,749722703742.0039,75948324440.15231,10-05-2022
11,chf,30062.33109473748,572252615860.1259,57970269693.2422,10-05-2022
12,clp,26297006.364441507,500577637639561.9,50709459165608.09,10-05-2022
13,cny,203738.53588768205,3878272438215.8003,392876315382.7001,10-05-2022
14,czk,717156.1047829662,13651451567372.03,1382917800865.4573,10-05-2022
15,dkk,213134.54864447628,4057130586700.2285,410994983287.5936,10-05-2022
16,dot,2805.126785440689,53397094713.947296,5409226442.330031,10-05-2022
17,eos,17758.710306383426,338046587109.4431,34244757088.894566,10-05-2022
18,eth,13.4670437461068,256352409.50963458,25968982.7602612,10-05-2022
19,eur,28653.94775281938,545443282644.86017,55254433655.60525,10-05-2022
20,gbp,24535.225594804757,467041194613.253,47312154211.63237,10-05-2022
21,hkd,237600.66877225888,4522856321639.079,458173878952.2449,10-05-2022
22,huf,10893388.68436487,207361503356608.8,21006111532597.996,10-05-2022
23,idr,440490596.7896121,8384975053340742.0,849413793386803.5,10-05-2022
24,ils,103994.49564406544,1979591069628.9458,200536310377.9567,10-05-2022
25,inr,2341829.4181682104,44577980537229.44,4515833536626.315,10-05-2022
26,jpy,3948410.327003193,75160110870851.38,7613861040736.984,10-05-2022
27,krw,38593681.87009896,734651459204498.0,74421578932595.61,10-05-2022
28,kwd,9289.312462772206,176827051089.66144,17912913906.598804,10-05-2022
29,lkr,10904592.033619635,207574765125871.72,21027715352199.332,10-05-2022
30,ltc,388.9120187533236,7403149122.723585,749952974.1397891,10-05-2022
31,mmk,56094259.99662099,1067784361653298.8,108168570494395.4,10-05-2022
32,mxn,616528.6769136087,11735954440950.045,1188874327864.6199,10-05-2022
33,myr,132686.7344243855,2525763242544.564,255864581993.2348,10-05-2022
34,ngn,12585724.483292267,239576024073515.88,24269503262473.64,10-05-2022
35,nok,292674.97145636805,5571225248131.637,564375629232.4801,10-05-2022
36,nzd,47878.28350732266,911388837200.1302,92325408785.57713,10-05-2022
37,php,1592387.0757367974,30311943098509.6,3070657027413.78,10-05-2022
38,pkr,5693618.830746601,108381091916573.66,10979209100876.447,10-05-2022
39,pln,134495.5844017393,2560195673215.931,259352652186.17374,10-05-2022
40,rub,2115087.2977857306,40261822515230.3,4078598585418.8594,10-05-2022
41,sar,113544.88329433932,2161387827110.0776,218952664918.68304,10-05-2022
42,sek,305408.90237563103,5813622461300.712,588930924273.2567,10-05-2022
43,sgd,42083.80674580206,801087860410.5647,81151711724.69366,10-05-2022
44,thb,1047433.652253734,19938462042521.086,2019803824113.822,10-05-2022
45,try,457188.814434237,8702834593149.053,881613564495.8647,10-05-2022
46,twd,900701.8294814683,17145343001062.18,1736855595252.8113,10-05-2022
47,uah,916481.3348923716,17445714360153.13,1767283780659.104,10-05-2022
48,usd,30269.586956629482,576197842487.6378,58369928594.32748,10-05-2022
49,vef,3030.893741967309,57694689968.28716,5844580950.150008,10-05-2022
50,vnd,694734609.9846776,1.32246463735439e+16,1339681629449264.2,10-05-2022
51,xag,1388.0037371077663,26421396493.853153,2676537315.8121653,10-05-2022
52,xau,16.321058591145036,310680114.69090927,31472481.798775405,10-05-2022
53,xdr,22099.734628274313,420680316206.6969,42615709756.93271,10-05-2022
54,xlm,210427.43900320758,4005599300960.8013,405774766814.7269,10-05-2022
55,xrp,61154.21503188635,1164103322945.4287,117925863004.60129,10-05-2022
56,yfi,2.407137814324343,45821160.92867016,4641770.055869391,10-05-2022
57,zar,491458.83000305446,9355182742499.854,947697662853.2181,10-05-2022
58,bits,1000007.1996725629,19035674049633.46,1928349697084.8794,10-05-2022
59,link,3644.8374586591676,69381438303.29256,7028470606.642042,10-05-2022
60,sats,100000719.9672563,1903567404963346.0,192834969708487.94,10-05-2022
