,index,current_price,market_cap,total_volume,date
0,aed,108668.47930132915,2070074763026.7036,84880804413.71815,26-05-2022
1,ars,3521889.2027513706,67090052273352.1,2750942964395.274,26-05-2022
2,aud,41729.03923712884,794915246495.724,32594496956.540928,26-05-2022
3,bch,155.09939521995562,2954558174.2727833,121147930.9823194,26-05-2022
4,bdt,2602325.8566536135,49572876290030.19,2032673259804.0066,26-05-2022
5,bhd,11154.73907714264,212491644313.07486,8712951832.771461,26-05-2022
6,bmd,29584.949851985926,563577022957.9133,23108764916.206596,26-05-2022
7,bnb,90.70068150861351,1727798097.3642576,70846181.49459465,26-05-2022
8,brl,142726.67357093567,2718864631855.861,111483614585.25546,26-05-2022
9,btc,1.0,19049450.0,780983.1924643843,26-05-2022
10,cad,37932.10677312491,722585771369.3043,29628718067.194935,26-05-2022
11,chf,28451.106648908568,541977933553.05133,22223121500.79298,26-05-2022
12,clp,24640811.639359903,469393909283404.44,19246905144923.62,26-05-2022
13,cny,198006.15236937106,3771908299252.7163,154662341831.18723,26-05-2022
14,czk,683400.507600934,13018403799518.611,533803226058.40576,26-05-2022
15,dkk,205988.20142438688,3923961943623.787,160897109714.34482,26-05-2022
16,dot,3002.3619297131927,57193343461.97498,2345140903.541308,26-05-2022
17,eos,22383.03853236957,426384573370.4475,17483361578.867157,26-05-2022
18,eth,15.220825571418152,289948355.6814515,11888966.576594599,26-05-2022
19,eur,27685.44814673912,527392560198.89954,21625066664.76151,26-05-2022
20,gbp,23508.970361084204,447832955444.9554,18362825430.30561,26-05-2022
21,hkd,232233.12877788272,4423913374997.838,181396987506.57114,26-05-2022
22,huf,10872173.22110634,207108920166804.16,8492240019056.785,26-05-2022
23,idr,432410668.54164124,8237185409850567.0,337755397138784.06,26-05-2022
24,ils,98943.0187364861,1884810088269.7551,77284260122.8138,26-05-2022
25,inr,2292728.5869569303,43675218580806.69,1790847244890.5552,26-05-2022
26,jpy,3762037.015653458,71664736027839.77,2938522101127.29,26-05-2022
27,krw,37475255.977510564,713883014980788.5,29271872519358.89,26-05-2022
28,kwd,9047.136834636998,172342980774.57578,7066706528.9058075,26-05-2022
29,lkr,10651925.813477017,202913328187539.8,8320205062371.933,26-05-2022
30,ltc,433.3511737393078,8255101516.588257,338490024.49573696,26-05-2022
31,mmk,54783537.8523561,1043596265141564.9,42791348433643.61,26-05-2022
32,mxn,586700.619762225,11176324121129.518,458271072491.5384,26-05-2022
33,myr,130025.85459947772,2476921015900.0205,101563021806.72766,26-05-2022
34,ngn,12280739.457938936,233941332267034.94,9592469230149.576,26-05-2022
35,nok,283234.71258257073,5395465495606.052,221234256671.91434,26-05-2022
36,nzd,45658.95605071737,869778000340.338,35664149744.18522,26-05-2022
37,php,1549955.3748207965,29525797414880.03,1210668078416.2415,26-05-2022
38,pkr,5988014.500336945,114068382823443.61,4677230148958.124,26-05-2022
39,pln,127353.09105994995,2426006340491.9624,99475329766.66798,26-05-2022
40,rub,1785454.4749676846,34011925748173.168,1394616111808.2034,26-05-2022
41,sar,110974.21195299386,2113997701887.9597,86681809116.2279,26-05-2022
42,sek,291683.9375806998,5556418584746.662,227833935061.8642,26-05-2022
43,sgd,40667.47206653983,774692975757.9471,31765308253.817562,26-05-2022
44,thb,1013240.2733455403,19301669925082.195,791440627667.762,26-05-2022
45,try,483802.6849295259,9216175056430.758,377897632674.7265,26-05-2022
46,twd,873291.5378108548,16635723484950.988,682126856781.8422,26-05-2022
47,uah,873554.2225805913,16640727485337.846,682332039505.5337,26-05-2022
48,usd,29584.949851985926,563577022957.9133,23108764916.206596,26-05-2022
49,vef,2962.3410286793446,56430967308.77575,2313880631.0597615,26-05-2022
50,vnd,686346211.2076291,1.307451783308917e+16,536104111221318.06,26-05-2022
51,xag,1346.0859291650036,25642196603.332287,1051425926.0101309,26-05-2022
52,xau,15.95812195016116,303993446.1834975,12464867.7958018,26-05-2022
53,xdr,21474.02875541499,409068437074.8401,16773335253.074121,26-05-2022
54,xlm,223524.50693477018,4258018918628.558,174594694586.57413,26-05-2022
55,xrp,72835.06619946154,1387467951813.3325,56891373177.25484,26-05-2022
56,yfi,3.4806970544267926,66305364.503450476,2718767.832215279,26-05-2022
57,zar,465466.11052096414,8866873399063.58,363574958832.25116,26-05-2022
58,bits,999852.1629383352,19046633785285.668,780983192464.3843,26-05-2022
59,link,4232.93645406013,80635111334.79575,3306341025.132768,26-05-2022
60,sats,99985216.29383352,1904663378528567.0,78098319246438.42,26-05-2022
