,index,current_price,market_cap,total_volume,date
0,aed,141548.99864634557,2693396044830.648,91302325949.12654,02-05-2022
1,ars,4444898.416901351,84577580415579.9,2867060650034.215,02-05-2022
2,aud,54531.860549207406,1037632896912.6451,35174291263.73118,02-05-2022
3,bch,135.41439512096247,2576666735.334416,87345367.04443951,02-05-2022
4,bdt,3339818.1022013975,63550098926505.43,2154258694120.8137,02-05-2022
5,bhd,14524.456705019826,276371536476.5978,9368605168.510908,02-05-2022
6,bmd,38537.65476669535,733294957352.5364,24857664487.014507,02-05-2022
7,bnb,98.64226461425149,1876966194.7871528,63626505.890530355,02-05-2022
8,brl,191640.04962382308,3646529163922.7017,123612193961.02603,02-05-2022
9,btc,1.0,19028012.0,645445.6868408879,02-05-2022
10,cad,49522.23519312039,942309685521.5171,31942968884.07071,02-05-2022
11,chf,37521.725111735796,713963835686.8102,24202366735.807873,02-05-2022
12,clp,32853736.065155458,625141284092610.9,21191407551824.742,02-05-2022
13,cny,254676.09152570623,4845979725664.236,164271875762.4354,02-05-2022
14,czk,899199.0986713025,17109971239906.729,580003885475.5095,02-05-2022
15,dkk,271990.558822871,5175439617168.295,175440101266.81302,02-05-2022
16,dot,2500.525881262371,47580036474.97097,1612896108.3338482,02-05-2022
17,eos,18256.72141376411,347389114141.76044,11776000856.399725,02-05-2022
18,eth,13.601847425364902,258816116.03201243,8773501.18345762,02-05-2022
19,eur,36563.83316485478,695737056226.8547,23584504627.318623,02-05-2022
20,gbp,30643.71717724975,583089018173.3143,19765895066.4879,02-05-2022
21,hkd,302408.1755796043,5754226393826.817,195060156415.75543,02-05-2022
22,huf,13826575.655751567,263092247496548.75,8918456007136.717,02-05-2022
23,idr,558679579.2227244,1.063056173760495e+16,360361044805109.0,02-05-2022
24,ils,128770.68307880555,2450250102871.71,83060021558.5228,02-05-2022
25,inr,2949030.6365792714,56114190341198.01,1902191884010.7046,02-05-2022
26,jpy,5008379.305378032,95299501523284.86,3230518648591.5894,02-05-2022
27,krw,48693452.675303616,926539601827109.4,31408385296010.84,02-05-2022
28,kwd,11819.498716945425,224901563420.02225,7623845698.167325,02-05-2022
29,lkr,13487989.254780652,256649621395837.25,8700060071884.467,02-05-2022
30,ltc,387.09286142534745,7365607612.315849,249683706.30963552,02-05-2022
31,mmk,71351693.8873535,1357680887508888.8,46023466606089.19,02-05-2022
32,mxn,786781.8308550903,14970894118892.629,507492188984.3874,02-05-2022
33,myr,167773.68002680858,3192399596834.2744,108217842344.21791,02-05-2022
34,ngn,16003146.518417891,304508063990213.8,10322393754877.63,02-05-2022
35,nok,361673.693339114,6881931376940.981,233287764323.7553,02-05-2022
36,nzd,59659.064289987626,1135193391218.656,38481454377.74154,02-05-2022
37,php,2017060.6963382147,38380655134651.914,1301050059819.681,02-05-2022
38,pkr,7156442.490175328,136172873580366.02,4616068295238.596,02-05-2022
39,pln,171098.55472945937,3255665352574.81,110362462205.49916,02-05-2022
40,rub,2826737.323975994,53787191721463.1,1823309913841.4927,02-05-2022
41,sar,144562.45056082815,2750736044020.8438,93246071023.68918,02-05-2022
42,sek,378466.0524894993,7201456588362.822,244119218189.6627,02-05-2022
43,sgd,53321.66257656889,1014605235366.9038,34393686025.845474,02-05-2022
44,thb,1319544.2903593488,25108304591489.176,851136101666.8595,02-05-2022
45,try,572661.8423021395,10896616407267.219,369379922744.1381,02-05-2022
46,twd,1134933.9714168357,21595537227327.21,732058244000.2437,02-05-2022
47,uah,1165748.6801682843,22181879875226.27,751934432524.0598,02-05-2022
48,usd,38537.65476669535,733294957352.5364,24857664487.014507,02-05-2022
49,vef,3858.7753717892037,73424824079.70944,2488997945.0847616,02-05-2022
50,vnd,885007584.6818639,1.6839934941417522e+16,570850035936717.5,02-05-2022
51,xag,1688.2487163587964,32124016833.859768,1088958848.5843015,02-05-2022
52,xau,20.29585588288009,386189789.28971297,13091289.00208618,02-05-2022
53,xdr,28096.22404655215,534615288312.48285,18122704013.23831,02-05-2022
54,xlm,218881.44776677014,4164878814683.4746,141183515809.59283,02-05-2022
55,xrp,63242.663347578695,1203382157089.6875,40792957336.830894,02-05-2022
56,yfi,2.250777483625487,42827820.96775557,1451802.7072898303,02-05-2022
57,zar,609334.274578127,11594419888683.895,393034476269.98126,02-05-2022
58,bits,1000655.6755611817,19040488202446.277,645445686840.888,02-05-2022
59,link,3401.947150698872,64732291206.863945,2194333344.5321393,02-05-2022
60,sats,100065567.55611818,1904048820244627.8,64544568684088.79,02-05-2022
