,index,current_price,market_cap,total_volume,date
0,aed,138690.7320533174,2639276725602.9033,84738867477.53488,04-05-2022
1,ars,4375552.701054095,83266518494555.47,2673425794111.843,04-05-2022
2,aud,53180.61401647307,1012024053438.4836,32492906604.483196,04-05-2022
3,bch,135.19880948376368,2572825638.1438828,82605332.24066362,04-05-2022
4,bdt,3261395.53852897,62064171198660.6,1992685165328.7488,04-05-2022
5,bhd,14237.709402831582,270942798386.449,8699120355.11056,04-05-2022
6,bmd,37758.496107734,718542028695.8999,23070122642.32804,04-05-2022
7,bnb,98.4041823241335,1872625980.589868,60124125.39573495,04-05-2022
8,brl,187282.1406943605,3563968462331.6606,114427808305.947,04-05-2022
9,btc,1.0,19029943.0,610960.9080662705,04-05-2022
10,cad,48463.21854675716,922252286541.3315,29610617762.041267,04-05-2022
11,chf,36961.79183986085,703380791890.4171,22583343054.57494,04-05-2022
12,clp,32359219.956808627,615794111302530.8,19771210455088.37,04-05-2022
13,cny,249523.2456783496,4748413142433.989,152456598469.56076,04-05-2022
14,czk,884651.3570073219,16834864898721.986,540514517411.6324,04-05-2022
15,dkk,266926.136534404,5079589163459.926,163089617995.4096,04-05-2022
16,dot,2564.5709107770326,48803638251.54502,1566931195.240438,04-05-2022
17,eos,18376.793566523105,349709334093.7015,11228065867.421955,04-05-2022
18,eth,13.564967942173638,258140566.73639166,8288080.996983723,04-05-2022
19,eur,35876.76369570894,682732768153.8104,21920400010.324963,04-05-2022
20,gbp,30210.157392340814,574897573197.2743,18458151354.777615,04-05-2022
21,hkd,296324.5240189244,5639038801582.263,181051784783.49966,04-05-2022
22,huf,13664558.95545927,260035778042529.44,8348930266086.437,04-05-2022
23,idr,545829268.0341814,1.0387099858422194e+16,333497078892965.75,04-05-2022
24,ils,126628.96926418321,2409742067246.158,77369232150.05698,04-05-2022
25,inr,2887299.424733488,54945143476611.07,1764115595167.4963,04-05-2022
26,jpy,4912941.326879064,93492993412852.95,3001765711808.797,04-05-2022
27,krw,47621041.87305545,906225712444858.5,29096054917870.508,04-05-2022
28,kwd,11581.097133683594,220387618331.4621,7075952666.24162,04-05-2022
29,lkr,13315034.6738663,253384350886699.28,8135373878146.245,04-05-2022
30,ltc,379.92031999615716,7229862034.068632,232128111.02475503,04-05-2022
31,mmk,69592829.8484426,1324347585224561.2,42520632046608.016,04-05-2022
32,mxn,765965.491535339,14576279643884.484,467998454681.3518,04-05-2022
33,myr,164381.61280502004,3128172721927.6006,100435778923.37515,04-05-2022
34,ngn,15597102.975696482,296811980592634.4,9529698362129.277,04-05-2022
35,nok,354860.0101949009,6752965766988.383,216816473110.99564,04-05-2022
36,nzd,58697.88546773512,1117017414671.5276,35863912924.98014,04-05-2022
37,php,1983076.177819692,37737826628566.6,1211642818104.945,04-05-2022
38,pkr,7010997.557284056,133418883888254.83,4283660372227.4746,04-05-2022
39,pln,168345.1221414487,3203598078679.8066,102857449697.14023,04-05-2022
40,rub,2539255.0496370057,48321878857054.4,1551463417614.1743,04-05-2022
41,sar,141626.64391817455,2695146961044.159,86532684863.5893,04-05-2022
42,sek,372648.07546974975,7091471635249.035,227684830957.91855,04-05-2022
43,sgd,52265.46134630985,994608750288.9797,31933756042.001053,04-05-2022
44,thb,1296801.88024453,24678065863346.23,792335010766.358,04-05-2022
45,try,559244.861701259,10642397841217.842,341693893467.78485,04-05-2022
46,twd,1111258.9336393913,21147194165398.395,678969835379.4414,04-05-2022
47,uah,1104918.9800749333,21026545210444.11,675096177226.813,04-05-2022
48,usd,37758.496107734,718542028695.8999,23070122642.32804,04-05-2022
49,vef,3780.758215267406,71947613333.32047,2310011380.1763067,04-05-2022
50,vnd,867312655.5946509,1.6504910399144838e+16,529920717094275.6,04-05-2022
51,xag,1670.618996512275,31791784278.34579,1020734115.791408,04-05-2022
52,xau,20.207969531898204,384556508.33775944,12346898.936947571,04-05-2022
53,xdr,27485.39103771838,523045424780.49164,16793342094.53928,04-05-2022
54,xlm,219409.90789396584,4175358040857.4194,134057603078.60591,04-05-2022
55,xrp,62359.64674892631,1186700523132.203,38101218182.13274,04-05-2022
56,yfi,2.1627339888051913,41156704.53112543,1321412.2252672897,04-05-2022
57,zar,595398.6217244143,11330401833694.166,363783535897.81384,04-05-2022
58,bits,999949.8237114695,19028988148089.312,610960908066.2705,04-05-2022
59,link,3395.1848069549424,64610173350.81855,2074429279.8720798,04-05-2022
60,sats,99994982.37114696,1902898814808931.5,61096090806627.05,04-05-2022
