,index,current_price,market_cap,total_volume,date
0,aed,111597.61636820876,2125543064823.8394,107217996814.5607,20-05-2022
1,ars,3595468.3559619864,68481057907126.21,3454365131459.9634,20-05-2022
2,aud,43118.042525986595,821247435585.8978,41425886113.44484,20-05-2022
3,bch,154.4421013530154,2955997261.572625,148381061.08168527,20-05-2022
4,bdt,2661496.3866062383,50692168620692.65,2557046650168.454,20-05-2022
5,bhd,11453.802564432803,218154754545.69885,11004301049.012403,20-05-2022
6,bmd,30382.40624219559,578678245847.8763,29190056577.430664,20-05-2022
7,bnb,98.75083272067774,1879689871.2671425,94875381.86431237,20-05-2022
8,brl,149830.83638338713,2853751769398.8057,143950764011.5989,20-05-2022
9,btc,1.0,19044400.0,961621.8423346987,20-05-2022
10,cad,38938.39566406027,741639826661.0977,37410268410.2009,20-05-2022
11,chf,29540.32747078686,562639599585.9559,28381024969.33056,20-05-2022
12,clp,25476677.41535815,485241322863909.56,24476851807953.223,20-05-2022
13,cny,203960.1313444827,3884724932201.3857,195955768809.9493,20-05-2022
14,czk,709240.8148365653,13508549235423.666,681406842732.2258,20-05-2022
15,dkk,213702.2802884497,4070278690410.7534,205315589641.55972,20-05-2022
16,dot,3016.5383871819176,57443254954.71657,2898155119.3776827,20-05-2022
17,eos,22878.040248236674,435283273103.9434,21980197483.479664,20-05-2022
18,eth,15.009276926620656,285861418.45145714,14420241.740626553,20-05-2022
19,eur,28713.13607843684,546884505664.5018,27586296488.953426,20-05-2022
20,gbp,24370.882578302302,464179810767.9247,23414453602.907093,20-05-2022
21,hkd,238437.3263879704,4541394538633.409,229079915262.60336,20-05-2022
22,huf,11047605.804502796,210418131362149.62,10614045375732.03,20-05-2022
23,idr,444573597.57955056,8467567300193636.0,427126421874911.3,20-05-2022
24,ils,102658.0490675362,1955275671156.781,98629260517.50024,20-05-2022
25,inr,2352246.7859895797,44802048694461.61,2259933470040.8306,20-05-2022
26,jpy,3886570.069237869,74025524249224.22,3734042633385.695,20-05-2022
27,krw,38392727.64795045,731246765365669.5,36886014994070.25,20-05-2022
28,kwd,9306.31332642196,177252618772.67953,8941089470.006474,20-05-2022
29,lkr,10943907.583375137,208443044062567.66,10514416764437.53,20-05-2022
30,ltc,420.31971934498245,8005546815.582543,403824380.81056947,20-05-2022
31,mmk,56284496.16528294,1072022184474739.0,54075625689417.43,20-05-2022
32,mxn,605674.787558481,11535979764889.715,581905237373.9089,20-05-2022
33,myr,133758.54348126572,2547630977345.268,128509224082.13812,20-05-2022
34,ngn,12614705.526431743,240265883081533.4,12119644674909.727,20-05-2022
35,nok,294511.39917262894,5609408895952.702,282953375582.4751,20-05-2022
36,nzd,47594.10014321183,906500629477.1904,45726282008.65824,20-05-2022
37,php,1586873.0780298698,30224364780634.65,1524596655039.1978,20-05-2022
38,pkr,6099839.424652547,116180540477052.55,5860452806123.192,20-05-2022
39,pln,133491.60366002182,2542546710277.254,128252760245.04887,20-05-2022
40,rub,1887506.9574139905,35950385444621.1,1813432235682.819,20-05-2022
41,sar,113973.15594747289,2170788759510.1814,109500308958.23622,20-05-2022
42,sek,301444.51236506645,5741460378263.959,289614400543.1616,20-05-2022
43,sgd,41946.101970006384,798926079608.8074,40299938061.0836,20-05-2022
44,thb,1046673.8950436381,19935465569459.363,1005597449092.4863,20-05-2022
45,try,483560.30126953626,9210127225265.635,464583102475.0706,20-05-2022
46,twd,899884.3071426876,17139638913791.662,864568580554.2308,20-05-2022
47,uah,898140.6912308541,17106429147940.7,862893392397.3086,20-05-2022
48,usd,30382.40624219559,578678245847.8763,29190056577.430664,20-05-2022
49,vef,3042.1903370310397,57943052756.74788,2922800365.0981274,20-05-2022
50,vnd,703296591.5445623,1.3395332636312858e+16,675695898943926.6,20-05-2022
51,xag,1386.1851318376769,26401963495.51096,1331784655.3226428,20-05-2022
52,xau,16.48458215482802,313973455.8496818,15837648.997216515,20-05-2022
53,xdr,22158.283843714344,422037567514.052,21288687732.655643,20-05-2022
54,xlm,231702.8853448918,4416021179483.475,222609765614.22485,20-05-2022
55,xrp,72059.26955976122,1371733665139.696,69231322187.26312,20-05-2022
56,yfi,3.184012799644581,60590105.23956452,3059057.041894529,20-05-2022
57,zar,481078.75747489196,9162862522179.521,462198946223.99536,20-05-2022
58,bits,1000901.9813881096,19062827711774.31,961621842334.6986,20-05-2022
59,link,4206.094003424321,80164276866.4799,4041026933.522937,20-05-2022
60,sats,100090198.13881096,1906282771177430.8,96162184233469.86,20-05-2022
