,index,current_price,market_cap,total_volume,date
0,aed,113965.0307918823,2169495992459.852,198609524206.9742,11-05-2022
1,ars,3628598.581746821,69075838673014.85,6323643602351.144,11-05-2022
2,aud,44742.76230807841,851745863134.3085,77974258173.46565,11-05-2022
3,bch,133.83904329714113,2547827750.7602863,233244430.54908758,11-05-2022
4,bdt,2688454.2510256255,51178775480374.836,4685232092144.971,11-05-2022
5,bhd,11698.146930256442,222691844226.7083,20386634213.825882,11-05-2022
6,bmd,31026.93386836242,590644412746.6844,54071363210.08785,11-05-2022
7,bnb,97.30003982755426,1852252791.9774756,169567054.74646953,11-05-2022
8,brl,159255.04615953064,3031659641746.181,277537493084.73895,11-05-2022
9,btc,1.0,19036506.0,1743225.85587065,11-05-2022
10,cad,40433.400436167714,769710670003.5093,70464232465.85338,11-05-2022
11,chf,30898.358254411884,588196782300.2612,53847291480.945175,11-05-2022
12,clp,26895697.623789933,512000109189462.75,46871761198664.6,11-05-2022
13,cny,208957.0915232605,3977812926525.0977,364154409810.9788,11-05-2022
14,czk,736697.3123836229,14024142807374.71,1283859633787.6826,11-05-2022
15,dkk,219152.54199240403,4171898680553.651,381922259761.8131,11-05-2022
16,dot,2737.15478721013,52105863529.654366,4770103655.404513,11-05-2022
17,eos,18052.783187800676,343661915471.2668,31461007421.551514,11-05-2022
18,eth,13.231753810273144,251886360.7997875,23059286.786674175,11-05-2022
19,eur,29465.503421437046,560920232675.2069,51350221856.54012,11-05-2022
20,gbp,25206.622370930192,479846018003.9468,43928170256.870705,11-05-2022
21,hkd,243553.98440251668,4636416885402.416,424447224072.0194,11-05-2022
22,huf,11190821.904423548,213034148328490.34,19502507027628.176,11-05-2022
23,idr,450709652.14537925,8579936997323424.0,785462250535019.1,11-05-2022
24,ils,107440.37686870355,2045289378903.3354,187238857237.5234,11-05-2022
25,inr,2397500.823102552,45640038803996.67,4178180749424.6216,11-05-2022
26,jpy,4043960.5822941298,76982879888605.7,7047504673849.524,11-05-2022
27,krw,39610224.8537061,754040283088925.2,69029665128526.38,11-05-2022
28,kwd,9521.855734861725,181262863827.82965,16593960655.54383,11-05-2022
29,lkr,11159283.181280999,212433761236154.84,19447543757281.887,11-05-2022
30,ltc,387.01692667011963,7367450046.657291,674463448.4095886,11-05-2022
31,mmk,57396034.489697225,1092619954939328.2,100025411498224.45,11-05-2022
32,mxn,632462.3280528592,12039872902752.223,1102206889083.3923,11-05-2022
33,myr,135960.02421116395,2588203816655.9688,236940713586.60468,11-05-2022
34,ngn,12879680.651338756,245184117997294.22,22445720659449.598,11-05-2022
35,nok,302033.5493576061,5749663474547.364,526360929450.3928,11-05-2022
36,nzd,49319.57634993437,938872411102.9838,85950379031.94882,11-05-2022
37,php,1622708.5792614873,30890701605362.773,2827932187744.8696,11-05-2022
38,pkr,5856552.104187034,111488289270669.1,10206350306086.984,11-05-2022
39,pln,137928.34186883943,2625673707556.2124,240370946797.2902,11-05-2022
40,rub,2168006.9109710236,41271276568741.37,3778236342090.801,11-05-2022
41,sar,116383.61131385446,2215537315077.859,202824441040.5628,11-05-2022
42,sek,312659.5295611073,5951945010447.196,544879073637.13074,11-05-2022
43,sgd,43167.92822572196,821766524676.5254,75229757991.01126,11-05-2022
44,thb,1074343.4523276007,20451745576295.09,1872283457645.163,11-05-2022
45,try,475556.79646051006,9052939809161.28,828763949977.7368,11-05-2022
46,twd,920206.0817211178,17517508595920.549,1603664657422.3828,11-05-2022
47,uah,937703.5038876436,17850598377978.152,1634157824205.169,11-05-2022
48,usd,31026.93386836242,590644412746.6844,54071363210.08785,11-05-2022
49,vef,3106.726888239122,59141225048.32538,5414165598.226085,11-05-2022
50,vnd,711871842.9880606,1.3551552610273274e+16,1240595707734160.0,11-05-2022
51,xag,1458.7191953168476,27768916713.964348,2542144053.4906235,11-05-2022
52,xau,16.922400001143505,322143369.1561682,29491062.20841394,11-05-2022
53,xdr,22593.968377610792,430110214584.19806,39375037046.40191,11-05-2022
54,xlm,209036.26648976,3979320141249.915,364292389876.5859,11-05-2022
55,xrp,60256.7544759931,1147078068122.7695,105010855115.61938,11-05-2022
56,yfi,2.2611687820716986,43044753.08692059,3940591.7134268163,11-05-2022
57,zar,500843.09599761426,9534302602017.16,872830975495.331,11-05-2022
58,bits,1000288.3252188355,19041994704758.305,1743225855870.65,11-05-2022
59,link,3614.7782258014436,68812747384.13855,6299558544.859298,11-05-2022
60,sats,100028832.52188355,1904199470475830.5,174322585587065.0,11-05-2022
