,index,current_price,market_cap,total_volume,date
0,aed,108322.30869212464,2063110699275.6267,49809576611.399185,22-05-2022
1,ars,3493078.8372029606,66529308777284.57,1606213715826.8264,22-05-2022
2,aud,41910.38194456255,798226685200.2703,19271546235.355114,22-05-2022
3,bch,153.05786655613352,2915145789.5691814,70380216.43236372,22-05-2022
4,bdt,2581866.2680133767,49174320469634.695,1187213116390.5789,22-05-2022
5,bhd,11118.180530273934,211757277752.2769,5112445179.469376,22-05-2022
6,bmd,29491.507947760598,561696351558.8424,13561006428.368963,22-05-2022
7,bnb,94.30270914809456,1796092887.6348474,43362979.17472295,22-05-2022
8,brl,143968.69434858285,2742033079404.801,66200765081.36874,22-05-2022
9,btc,1.0,19046037.0,459883.1356834547,22-05-2022
10,cad,37865.91654460671,721195647547.4916,17411789813.76862,22-05-2022
11,chf,28752.509741605612,547621364381.4809,13221194729.286894,22-05-2022
12,clp,24669646.398301728,469858998078971.5,11343781877330.63,22-05-2022
13,cny,197386.66269436124,3759433680983.323,90763816025.07326,22-05-2022
14,czk,687694.7789290607,13097860204189.71,316220972299.2788,22-05-2022
15,dkk,207679.93625582856,3955479750086.153,95496946293.73483,22-05-2022
16,dot,2948.5025197752884,56157288086.23337,1355802548.1627147,22-05-2022
17,eos,22519.004066873906,428897784660.831,10354857386.481403,22-05-2022
18,eth,14.911067778470402,283996748.618255,6856519.047987064,22-05-2022
19,eur,27912.503120729572,531622567200.0309,12834936583.187672,22-05-2022
20,gbp,23614.941599566002,449771051458.1732,10858799604.432888,22-05-2022
21,hkd,231436.08319544897,4407940203675.6,106420675996.94699,22-05-2022
22,huf,10734861.736063616,204456573814951.94,4936184655877.009,22-05-2022
23,idr,432712497.42347944,8241458236289993.0,198973106752955.1,22-05-2022
24,ils,99117.71414654907,1887799650990.597,45577050895.04094,22-05-2022
25,inr,2294987.860383603,43710423703416.94,1055298534846.673,22-05-2022
26,jpy,3770930.966561162,71821290713569.66,1733977766381.2058,22-05-2022
27,krw,37564660.79092033,715457919316317.9,17273264133102.83,22-05-2022
28,kwd,9029.414988365856,171974571956.77066,4151973338.173722,22-05-2022
29,lkr,10478341.031461587,199570870983835.6,4818229381081.302,22-05-2022
30,ltc,422.9319203529906,8055177003.524112,194475728.4309989,22-05-2022
31,mmk,54650821.90674444,1040881576116265.1,25129950916914.195,22-05-2022
32,mxn,585416.3124182099,11149860746720.785,269190520540.27716,22-05-2022
33,myr,129438.22838272134,2465285286991.7603,59519257214.11141,22-05-2022
34,ngn,12242514.779274328,233171389459105.72,5629444988544.5,22-05-2022
35,nok,287344.9043024948,5472781679106.775,132129089543.59135,22-05-2022
36,nzd,46031.731705738275,876722065241.5645,21166656200.700405,22-05-2022
37,php,1540710.2514184208,29344424454794.55,708460946139.0968,22-05-2022
38,pkr,5911572.768128608,112592033669969.89,2718303738566.557,22-05-2022
39,pln,129259.80475963769,2461887024064.836,59437213125.21992,22-05-2022
40,rub,1828473.6402187012,34825176605130.066,840782466363.9098,22-05-2022
41,sar,110640.37070832615,2107260594204.497,50875485277.67522,22-05-2022
42,sek,293183.3381309132,5583980705824.884,134813761986.21567,22-05-2022
43,sgd,40683.83012901521,774865733938.9385,18707543977.99926,22-05-2022
44,thb,1013558.6302366542,19304275173156.63,466062133021.9843,22-05-2022
45,try,469027.04409959476,8933106435921.514,215671534035.4942,22-05-2022
46,twd,876753.0397789748,16698670835492.826,403155160108.9809,22-05-2022
47,uah,872013.4890281982,16608401176530.156,400975784326.88416,22-05-2022
48,usd,29491.507947760598,561696351558.8424,13561006428.368963,22-05-2022
49,vef,2952.9846908092663,56242655681.58684,1357863573.672583,22-05-2022
50,vnd,682875866.5303961,1.3006079020344986e+16,314005103848883.1,22-05-2022
51,xag,1355.9340100649808,25825169325.256,623495748.6577613,22-05-2022
52,xau,15.971421044189194,304192276.15020597,7344098.641347479,22-05-2022
53,xdr,21506.623187888556,409615940981.5835,9889336815.875225,22-05-2022
54,xlm,224933.6684575356,4284094971987.956,103430686871.36685,22-05-2022
55,xrp,71009.53121115647,1352450158800.3408,32652135351.494656,22-05-2022
56,yfi,3.166906257728576,60317013.76023,1456230.5934024034,22-05-2022
57,zar,467092.40117822157,8896259155259.252,214781932013.79315,22-05-2022
58,bits,1000120.9882680443,19048341347029.73,459883135683.45465,22-05-2022
59,link,4173.869337592479,79495669836.95184,1919259910.9724975,22-05-2022
60,sats,100012098.82680443,1904834134702973.2,45988313568345.47,22-05-2022
