,index,current_price,market_cap,total_volume,date
0,aed,115036.69930583538,2190396535977.5159,84289100912.88979,16-05-2022
1,ars,3681419.2008260605,70097350790048.88,2697430614695.473,16-05-2022
2,aud,45069.76990258972,858166728249.7255,33023290883.37641,16-05-2022
3,bch,146.04549593712537,2780830381.314414,107009707.50377703,16-05-2022
4,bdt,2714337.3773051677,51683290850661.11,1988835375909.4536,16-05-2022
5,bhd,11805.53169565843,224787358187.27783,8650088697.174534,16-05-2022
6,bmd,31319.309111130002,596346266888.6597,22948123704.172672,16-05-2022
7,bnb,100.31669135550769,1910115072.5965188,73503532.10701591,16-05-2022
8,brl,158469.44024049575,3017392841203.2446,116112916318.373,16-05-2022
9,btc,1.0,19040850.0,733294.114592585,16-05-2022
10,cad,40411.304546091065,769465588166.4381,29609964015.49402,16-05-2022
11,chf,31390.84241313982,597708321762.2334,23000537218.713,16-05-2022
12,clp,26947133.559216306,513096328031003.9,19744565635070.207,16-05-2022
13,cny,212626.78955546182,4048594805907.1147,155794811827.62845,16-05-2022
14,czk,744817.017695428,14181949111385.99,545738509058.4127,16-05-2022
15,dkk,224006.97371408177,4265283185443.7744,164133242056.77646,16-05-2022
16,dot,2654.3234161338914,50540574018.092995,1944862253.7678018,16-05-2022
17,eos,22300.866873424085,424627461006.8371,16340176914.68667,16-05-2022
18,eth,14.581575678139263,277645595.2510979,10684137.420668097,16-05-2022
19,eur,30104.58970725485,573216976927.3835,22058080726.306355,16-05-2022
20,gbp,25542.30594903656,486347216229.71277,18715227546.319534,16-05-2022
21,hkd,245853.6011880053,4681261542180.631,180140591006.00385,16-05-2022
22,huf,11619925.671357932,221253261719475.66,8514092402020.824,16-05-2022
23,idr,457659820.9924804,8714232002544670.0,335334159169963.7,16-05-2022
24,ils,106691.66939317483,2031500073165.0325,78174573351.913,16-05-2022
25,inr,2426825.274043654,46208816019274.11,1778170980705.8123,16-05-2022
26,jpy,4053188.388616895,77176152129396.0,2969831429175.5107,16-05-2022
27,krw,40043910.16467415,762470086859035.8,29340768686725.5,16-05-2022
28,kwd,9617.846634936921,183131975098.83868,7047139308.314393,16-05-2022
29,lkr,11267356.316228075,214540041513851.25,8255759590555.801,16-05-2022
30,ltc,438.11522471695577,8342086276.551847,321013542.7257311,16-05-2022
31,mmk,57935522.56840433,1103141594896601.6,42450219257651.484,16-05-2022
32,mxn,629152.6481156955,11979601199873.74,460989504798.3669,16-05-2022
33,myr,137742.32147074954,2622730881776.321,100925848050.95126,16-05-2022
34,ngn,13005656.301487885,247638750788185.7,9529437849394.775,16-05-2022
35,nok,305893.2805016052,5824468070038.989,224132557213.1293,16-05-2022
36,nzd,49794.19372407626,948123773571.0775,36484946499.779686,16-05-2022
37,php,1638751.4986114628,31203221472336.074,1200737601749.0112,16-05-2022
38,pkr,6050949.243974902,115215216912139.52,4433620527378.107,16-05-2022
39,pln,140930.37658379,2683434160975.458,103261783459.04665,16-05-2022
40,rub,2082734.2751253147,39657030922519.85,1526050386964.353,16-05-2022
41,sar,117488.12426858202,2237073750979.4297,86085296451.46298,16-05-2022
42,sek,315314.72374910663,6003860357698.177,231035788837.69513,16-05-2022
43,sgd,43616.36604397862,830492683388.4904,31958360254.760574,16-05-2022
44,thb,1087562.1632626401,20708108016359.438,796872976028.0537,16-05-2022
45,try,484979.5015858488,9234421942770.908,355351695559.1144,16-05-2022
46,twd,933221.4535843413,17769329714481.406,683785242013.2336,16-05-2022
47,uah,924000.3912765335,17593752850237.78,677028832484.1276,16-05-2022
48,usd,31319.309111130002,596346266888.6597,22948123704.172672,16-05-2022
49,vef,3136.0024212974495,59712151703.56153,2297795626.4988117,16-05-2022
50,vnd,723059206.4891806,1.3767661891879514e+16,529796237109777.6,16-05-2022
51,xag,1478.4417670868988,28150787920.836582,1083276276.6298995,16-05-2022
52,xau,17.283873926068225,329099650.84517604,12664151.547384748,16-05-2022
53,xdr,22885.77083092135,435764529525.9488,16768744745.607864,16-05-2022
54,xlm,215027.90946550688,4094314169946.297,157554148105.7293,16-05-2022
55,xrp,69798.62110118741,1329025074594.5442,51142488032.77432,16-05-2022
56,yfi,2.957923870107189,56321384.72213047,2167314.8228746443,16-05-2022
57,zar,506146.65664860583,9637462567247.605,370861184964.57935,16-05-2022
58,bits,1000790.5369675859,19055902495819.26,733294114592.585,16-05-2022
59,link,3960.521508237034,75411695960.11513,2901933027.3719697,16-05-2022
60,sats,100079053.69675858,1905590249581926.0,73329411459258.5,16-05-2022
