,index,current_price,market_cap,total_volume,date
0,aed,132659.12788490206,2523762585080.3833,118359355532.7911,07-05-2022
1,ars,4200399.787963744,79910157682025.53,3747624606086.7,07-05-2022
2,aud,51026.2892353865,970745411046.9476,45525994369.34405,07-05-2022
3,bch,130.9510403278219,2492744649.9292707,116835388.46265484,07-05-2022
4,bdt,3121829.3956992514,59390984634737.72,2785316934081.3877,07-05-2022
5,bhd,13620.286849312564,259118018461.43185,12152110445.46492,07-05-2022
6,bmd,36116.394294982965,687093350325.4445,32223287014.454002,07-05-2022
7,bnb,94.98574473240056,1807243145.0254989,84746912.7121304,07-05-2022
8,brl,183539.90416767434,3491739697018.876,163755522278.75418,07-05-2022
9,btc,1.0,19032700.0,892648.0986099069,07-05-2022
10,cad,46620.847575678716,886934451267.6005,41595430042.60791,07-05-2022
11,chf,35702.78934751676,679224757277.5184,31854265931.56442,07-05-2022
12,clp,31023621.53544736,590206316996054.0,27679481312545.793,07-05-2022
13,cny,240769.94256750424,4580507819944.581,214816542881.85788,07-05-2022
14,czk,856861.4907648651,16301290423564.51,764497516641.2081,07-05-2022
15,dkk,254741.56970051822,4846309882517.966,227282121463.39926,07-05-2022
16,dot,2516.5132455538956,47925041614.080215,2245249842.0758142,07-05-2022
17,eos,17731.569188662426,337597230668.03015,15820223871.636305,07-05-2022
18,eth,13.364694247159873,254333322.83503187,11924069.027191851,07-05-2022
19,eur,34239.06411952975,651378237975.5272,30548320555.442684,07-05-2022
20,gbp,29268.942635019946,556711203261.0386,26113945136.235596,07-05-2022
21,hkd,283508.4583384436,5393583171518.95,252948130686.8469,07-05-2022
22,huf,13079552.193928102,248830856820360.06,11669663392284.535,07-05-2022
23,idr,523638960.14495504,9961926003696000.0,467194160272113.75,07-05-2022
24,ils,122846.66471889749,2337086192730.4795,109604610683.83354,07-05-2022
25,inr,2779268.501821253,52873963296929.01,2479681827951.98,07-05-2022
26,jpy,4715897.649822439,89717204036021.39,4207555224363.2197,07-05-2022
27,krw,45867880.85230849,872609698236649.2,40923628127906.19,07-05-2022
28,kwd,11085.927228844996,210903303882.39594,9890937949.086634,07-05-2022
29,lkr,13021076.537205422,247718391534875.44,11617491022735.582,07-05-2022
30,ltc,372.3886200699172,7080068843.849195,332247601.6687055,07-05-2022
31,mmk,67222601.74460888,1278870816201954.0,59976452028484.25,07-05-2022
32,mxn,727384.1811009563,13838060075554.445,648977000471.103,07-05-2022
33,myr,157828.6430690756,3002597940922.184,140815764253.16403,07-05-2022
34,ngn,14995165.747333946,285274288121621.0,13378786535531.129,07-05-2022
35,nok,342762.6400565362,6520859441263.624,305815105410.676,07-05-2022
36,nzd,56359.633297320936,1072209173182.8564,50284439386.05549,07-05-2022
37,php,1892336.4289335997,36000597575696.7,1688355138095.966,07-05-2022
38,pkr,6705911.5107209645,127576057821676.88,5983058816408.749,07-05-2022
39,pln,161457.25720389243,3071630209829.3975,144053237899.50613,07-05-2022
40,rub,2492030.98965546,47409437049895.586,2223406610657.6055,07-05-2022
41,sar,135468.3693823489,2577206767148.7563,120865779466.63655,07-05-2022
42,sek,359390.62798994564,6837197219753.465,320650706752.13007,07-05-2022
43,sgd,50035.65265626939,951899127540.871,44642141829.82457,07-05-2022
44,thb,1240173.1985373923,23593572930412.46,1106490769751.4849,07-05-2022
45,try,539759.5127385203,10268610120613.756,481577024431.0149,07-05-2022
46,twd,1071284.4875777836,20380562957353.35,955807139422.7338,07-05-2022
47,uah,1092403.043512252,20782331174649.203,974649255378.415,07-05-2022
48,usd,36116.394294982965,687093350325.4445,32223287014.454002,07-05-2022
49,vef,3616.3345607566444,68798657168.0868,3226517728.7572794,07-05-2022
50,vnd,829118326.3434097,1.5773492891084496e+16,739744880967222.0,07-05-2022
51,xag,1615.2262787756588,30728738487.934822,1441115620.4900186,07-05-2022
52,xau,19.171665583605776,364729763.1532564,17105087.445882592,07-05-2022
53,xdr,26386.09592600007,501980095347.51465,23541850143.454826,07-05-2022
54,xlm,209492.5899169142,3978889084441.2705,186910680982.12054,07-05-2022
55,xrp,59768.17587843766,1137476292667.0427,53325563729.621796,07-05-2022
56,yfi,2.14706489556382,40869329.49313941,1915625.5689129643,07-05-2022
57,zar,580348.2001390507,11040786240510.002,517790521076.46857,07-05-2022
58,bits,1000494.7875615879,19032129980638.445,892648098609.9069,07-05-2022
59,link,3333.3756671484434,63460314892.33628,2974059923.375085,07-05-2022
60,sats,100049478.75615878,1903212998063844.8,89264809860990.69,07-05-2022
