,index,current_price,market_cap,total_volume,date
0,aed,112037.60613778526,2135073023152.1096,91697851410.51358,18-05-2022
1,ars,3601648.226885474,68617522168178.555,2947790615373.572,18-05-2022
2,aud,43383.26950253775,826707645103.2634,35507297394.89069,18-05-2022
3,bch,147.4062900150936,2811511166.3103747,120645563.0813456,18-05-2022
4,bdt,2667967.7634774316,50842803544327.66,2183614234335.9597,18-05-2022
5,bhd,11499.845403950181,219149717124.43024,9412117515.242607,18-05-2022
6,bmd,30502.19328027689,581272773175.8237,24964703223.57502,18-05-2022
7,bnb,99.48184256893263,1891875225.222858,81421511.33353747,18-05-2022
8,brl,150662.53348859993,2871138735824.6704,123310655102.52667,18-05-2022
9,btc,1.0,19042793.0,818668.0086642689,18-05-2022
10,cad,39066.812624866005,744480217337.0391,31974467347.612988,18-05-2022
11,chf,30317.655010931234,577902553636.9509,24813666769.072407,18-05-2022
12,clp,25946182.333812155,494449996428702.8,21235808710425.48,18-05-2022
13,cny,205514.6276645217,3916441563826.7383,168204680909.48148,18-05-2022
14,czk,714377.8073062627,13617438311914.21,584686805471.1643,18-05-2022
15,dkk,215187.48319756312,4101292118424.3887,176121487595.74164,18-05-2022
16,dot,2757.9959604797045,52560379952.01309,2257298352.696346,18-05-2022
17,eos,22120.312652407876,420918060230.3373,18104502699.388878,18-05-2022
18,eth,14.549606029092335,276943356.14324534,11908212.409469418,18-05-2022
19,eur,28918.183881038825,551149474251.5332,23668261220.471542,18-05-2022
20,gbp,24431.067231963803,465553570764.75287,19995753658.657825,18-05-2022
21,hkd,239426.20359870107,4562697726679.751,195959813835.87125,18-05-2022
22,huf,11171663.216794074,212931260996993.97,9143514833778.594,18-05-2022
23,idr,446266914.1160831,8504398498864861.0,365249835217997.9,18-05-2022
24,ils,102195.7684539709,1947519550159.2063,83642740268.3947,18-05-2022
25,inr,2360035.402898437,44974612508371.36,1931585145012.7244,18-05-2022
26,jpy,3948752.9376780814,75277730490134.98,3231880549917.5713,18-05-2022
27,krw,38638958.35972355,736333098148206.5,31624287455495.895,18-05-2022
28,kwd,9358.438924708302,178341462083.62073,7659470525.431489,18-05-2022
29,lkr,11122308.258393325,211955084870996.16,9103119971751.303,18-05-2022
30,ltc,417.38549778118875,7966397426.027027,341611666.6164184,18-05-2022
31,mmk,56417335.91115872,1075131253642542.5,46175107302776.664,18-05-2022
32,mxn,608326.5921238582,11592221192710.148,497888551680.0131,18-05-2022
33,myr,133752.11753401376,2548881110375.9883,109470223635.37614,18-05-2022
34,ngn,12654103.17961496,241146122827303.12,10356826721829.65,18-05-2022
35,nok,295040.1205539911,5623034012414.487,241477358070.53812,18-05-2022
36,nzd,47974.520639471666,913886354351.4003,39265034453.50972,18-05-2022
37,php,1598009.7534427366,30452877680317.516,1307900677059.5764,18-05-2022
38,pkr,5981775.485502016,113993219865314.33,4895820060329.072,18-05-2022
39,pln,134572.62653325367,2564917263642.367,110141774152.09068,18-05-2022
40,rub,1982642.5632179938,37782730256428.45,1622705709532.373,18-05-2022
41,sar,114408.4501148808,2180253611992.7615,93638282897.97197,18-05-2022
42,sek,302766.4786228515,5770340158592.714,247801042220.5857,18-05-2022
43,sgd,42239.4372545274,804933167020.0973,34571121024.00666,18-05-2022
44,thb,1052259.844436457,20071663907604.3,861228387383.7843,18-05-2022
45,try,485671.17250520835,9253339403463.26,397500487077.3729,18-05-2022
46,twd,903490.2160584413,17222530996426.469,739466991833.9037,18-05-2022
47,uah,900273.7597770357,17156294963923.086,736834463878.9773,18-05-2022
48,usd,30502.19328027689,581272773175.8237,24964703223.57502,18-05-2022
49,vef,3054.1846131541256,58202842778.09516,2499715733.7765675,18-05-2022
50,vnd,705416163.5443709,1.3442941819256772e+16,577352094329074.2,18-05-2022
51,xag,1411.2892046788236,26888370623.37387,1155078122.8648167,18-05-2022
52,xau,16.811893870290238,320467305.30729467,13759795.475737866,18-05-2022
53,xdr,22318.820849497948,425324263406.0276,18266972925.128513,18-05-2022
54,xlm,214590.1841990439,4089461638733.554,175632624644.25632,18-05-2022
55,xrp,69536.1033918003,1325054318896.4883,56912241311.598045,18-05-2022
56,yfi,3.050331239960809,58129314.538451016,2496561.9173510764,18-05-2022
57,zar,485404.2783140056,9250316785042.74,397282045924.1664,18-05-2022
58,bits,1000259.0300803494,19051897231647.734,818668008664.2688,18-05-2022
59,link,3940.617869888522,75096344861.63498,3225222354.8427496,18-05-2022
60,sats,100025903.00803494,1905189723164773.5,81866800866426.89,18-05-2022
