,index,current_price,market_cap,total_volume,date
0,aed,107460.27552423054,2046601687192.146,95427764598.57327,21-05-2022
1,ars,3465280.779239712,65996941239810.71,3077267360948.501,21-05-2022
2,aud,41576.85748638284,791839275161.656,36921425611.498116,21-05-2022
3,bch,153.01024775534415,2914109699.4783473,135877428.49844053,21-05-2022
4,bdt,2561319.675303476,48780827550852.03,2274524328587.2764,21-05-2022
5,bhd,11029.701614901398,210062795988.20883,9794687052.165462,21-05-2022
6,bmd,29256.813374416255,557201657280.7389,25980877919.56809,21-05-2022
7,bnb,96.59347753723686,1839641422.2378407,85777740.5763544,21-05-2022
8,brl,142822.98584988783,2720091330347.3823,126830851739.95554,21-05-2022
9,btc,1.0,19045193.0,887848.664666236,21-05-2022
10,cad,37564.578100215396,715424639882.1757,33358408013.608555,21-05-2022
11,chf,28523.696144880065,543239298152.5967,25329849080.65949,21-05-2022
12,clp,24473324.387699116,466099186315336.56,21733004379718.633,21-05-2022
13,cny,195815.85191496756,3729350692179.9775,173890015915.66882,21-05-2022
14,czk,682222.0769899873,12993051125135.168,605832503679.6559,21-05-2022
15,dkk,206027.21120297347,3923828000612.3926,182957991831.54633,21-05-2022
16,dot,3016.8944589699177,57457337231.71267,2679087624.1928635,21-05-2022
17,eos,22875.674796024876,435671641495.5295,20314246346.56136,21-05-2022
18,eth,14.896642473767567,283709430.9649008,13228639.92634434,21-05-2022
19,eur,27690.37432953656,527368523348.2694,24589835734.876427,21-05-2022
20,gbp,23427.01297098994,446171983446.00684,20803850242.681183,21-05-2022
21,hkd,229594.30579640015,4372667865593.4585,203886238517.70645,21-05-2022
22,huf,10649433.28664288,202820512284737.97,9456998019298.945,21-05-2022
23,idr,429268954.45024586,8175510086413142.0,381202975098616.56,21-05-2022
24,ils,98328.93150194173,1872693477938.26,87318872791.09709,21-05-2022
25,inr,2276724.257258343,43360652887266.8,2021795546471.696,21-05-2022
26,jpy,3740921.750488662,71246576735954.4,3322044340997.6157,21-05-2022
27,krw,37265719.75159576,709732824953053.2,33093013345660.188,21-05-2022
28,kwd,8957.558550845015,170598431409.64362,7954565392.634152,21-05-2022
29,lkr,10394953.983837781,197973904848309.4,9231013199468.307,21-05-2022
30,ltc,425.89443374328886,8111241688.266649,378206305.24935776,21-05-2022
31,mmk,54215908.529203944,1032552441609035.1,48145260482382.336,21-05-2022
32,mxn,580757.5465146422,11060639559577.838,515729130297.52875,21-05-2022
33,myr,128408.153900313,2445558073805.164,114030073188.98439,21-05-2022
34,ngn,12145088.36798764,231305551970379.62,10785182041971.074,21-05-2022
35,nok,285058.20231908315,5428988479399.987,253139747642.50653,21-05-2022
36,nzd,45665.4093850174,869706535161.6677,40552175358.124016,21-05-2022
37,php,1528449.2189970098,29109610366497.32,1357306144617.427,21-05-2022
38,pkr,5864528.240901726,111691072201923.86,5207866978977.413,21-05-2022
39,pln,128231.15017939772,2442187003778.614,113872888877.57094,21-05-2022
40,rub,1813922.5754978727,34546505537414.062,1610814560917.6091,21-05-2022
41,sar,109759.8903122734,2090398294656.0771,97469887583.92957,21-05-2022
42,sek,290850.1736628165,5539297691491.857,258283182044.24356,21-05-2022
43,sgd,40360.066618140896,768665258235.3507,35840880898.8233,21-05-2022
44,thb,1007595.9925981365,19189860145058.09,894773745210.0603,21-05-2022
45,try,465294.5085440403,8861623717061.396,413194686257.2262,21-05-2022
46,twd,869775.8048080193,16565048069299.055,772385519670.8383,21-05-2022
47,uah,865073.9715874306,16475500748159.133,768210158761.2627,21-05-2022
48,usd,29256.813374416255,557201657280.7389,25980877919.56809,21-05-2022
49,vef,2929.484723180299,55792601943.52037,2601465306.0863523,21-05-2022
50,vnd,677441513.6846076,1.2902004374335492e+16,601587228227598.4,21-05-2022
51,xag,1345.143434196874,25618516316.962265,1194525422.1957743,21-05-2022
52,xau,15.84431985104888,301758129.51695716,14070204.246121306,21-05-2022
53,xdr,21344.776306319316,406515384295.6786,18954765180.267563,21-05-2022
54,xlm,231003.84632751695,4399512837049.9,205137950383.69016,21-05-2022
55,xrp,71109.56606735197,1354295409898.9692,63147306279.25724,21-05-2022
56,yfi,3.176921306728957,60505079.43246519,2821195.991986486,21-05-2022
57,zar,463375.26158667874,8825071288343.781,411490340665.70264,21-05-2022
58,bits,999797.7269005455,19041340669782.18,887848664666.2361,21-05-2022
59,link,4248.995862865882,80922946264.48225,3773228525.646668,21-05-2022
60,sats,99979772.69005455,1904134066978218.0,88784866466623.61,21-05-2022
