,index,current_price,market_cap,total_volume,date
0,aed,105222.01812945594,2004604975233.7634,116644087204.98326,28-05-2022
1,ars,3422778.145498789,65208007046079.51,3794327837313.226,28-05-2022
2,aud,40003.70337941616,762118273796.0095,44346188644.37693,28-05-2022
3,bch,164.98401825192215,3143142373.6328926,182893376.8284992,28-05-2022
4,bdt,2515620.3711490077,47925569205491.38,2788696198412.8066,28-05-2022
5,bhd,10793.686135673759,205632597752.145,11965363231.522144,28-05-2022
6,bmd,28646.65218193245,545752899521.8662,31756305901.005535,28-05-2022
7,bnb,95.06152980032445,1811035551.1012325,105380656.71983224,28-05-2022
8,brl,135527.31147272195,2581956967637.941,150239083217.65665,28-05-2022
9,btc,1.0,19051193.0,1108596.8976756523,28-05-2022
10,cad,36454.29723411814,694497852286.5509,40411487074.324585,28-05-2022
11,chf,27416.507643935947,522317178510.59906,30392626613.004597,28-05-2022
12,clp,23676458.028367147,451064771454822.06,26246586827181.043,28-05-2022
13,cny,191892.4643058928,3655780372737.175,212722790708.47574,28-05-2022
14,czk,659019.0981105746,12555100028790.492,730556992883.2229,28-05-2022
15,dkk,198489.78830339154,3781467265497.054,220036267957.477,28-05-2022
16,dot,3135.3116180246234,59731426750.12937,3475656219.9530997,28-05-2022
17,eos,23644.96099043317,450464715306.2135,26211670720.22186,28-05-2022
18,eth,16.607788964921028,316398192.87398076,18410599.024273094,28-05-2022
19,eur,26692.377570081066,508521636716.4855,29589890712.438988,28-05-2022
20,gbp,22683.04942400216,432139152405.204,25145341651.14605,28-05-2022
21,hkd,224855.02110555474,4283756404100.996,249263501656.52628,28-05-2022
22,huf,10519322.824401308,200405649356974.47,11661217211755.273,28-05-2022
23,idr,416505134.7339888,7934919707308224.0,461717634017080.0,28-05-2022
24,ils,95813.59815334404,1825363350443.8008,106214363657.9162,28-05-2022
25,inr,2225621.430649136,42400743420232.805,2467217269322.106,28-05-2022
26,jpy,3641991.9991047094,69384292479399.64,4037337810996.589,28-05-2022
27,krw,35937868.62333559,684659271151810.6,39838999062954.61,28-05-2022
28,kwd,8754.703373320373,166787543622.87747,9705044646.406298,28-05-2022
29,lkr,10162429.31029896,193606402139362.38,11265582163864.156,28-05-2022
30,ltc,465.9727871498048,8877337500.738852,516555103.0638835,28-05-2022
31,mmk,53003862.89319432,1009786821723783.4,58757542531718.234,28-05-2022
32,mxn,560934.9663052902,10686480303530.58,621825624419.5925,28-05-2022
33,myr,125443.6899046825,2389851947006.258,139060863540.50357,28-05-2022
34,ngn,11894662.918981997,226607518939469.44,13185853336215.523,28-05-2022
35,nok,271126.86980224727,5165290324088.485,300558255838.7962,28-05-2022
36,nzd,43833.560249575254,835081616191.7863,48591784449.20006,28-05-2022
37,php,1498936.2759461782,28556524287751.895,1661648928564.253,28-05-2022
38,pkr,5732195.10160469,109205155194325.56,6354436810791.214,28-05-2022
39,pln,122004.65931024103,2324334311418.648,135248519017.08731,28-05-2022
40,rub,1897841.9675057246,36156153606451.3,2103856663219.0803,28-05-2022
41,sar,107453.33451455914,2047114214330.4268,119117617627.91882,28-05-2022
42,sek,281117.84809713205,5355630379843.146,311633775622.66736,28-05-2022
43,sgd,39217.266837065545,747135719445.4352,43474382778.47659,28-05-2022
44,thb,975675.2667383065,18587777811957.957,1081586847699.029,28-05-2022
45,try,464591.405086581,8851020524445.637,515023769102.50836,28-05-2022
46,twd,839756.5560568225,15998364222453.844,930913878073.8466,28-05-2022
47,uah,845783.4392694228,16113183537725.553,937594992003.4415,28-05-2022
48,usd,28646.65218193245,545752899521.8662,31756305901.005535,28-05-2022
49,vef,2868.389282976899,54646237829.12452,3179758909.8676867,28-05-2022
50,vnd,664578414.7340859,1.2661011642733114e+16,736719784897296.9,28-05-2022
51,xag,1295.320255174787,24677396178.144115,1435929964.9347093,28-05-2022
52,xau,15.455728251718034,294450061.8790328,17133479.722769536,28-05-2022
53,xdr,20826.545836047597,396770544245.88916,23087310734.61951,28-05-2022
54,xlm,237803.730831325,4530444772187.623,263617820774.2846,28-05-2022
55,xrp,74875.48229374897,1426467264146.2944,83003371741.47292,28-05-2022
56,yfi,3.8798433909333365,73915645.25044546,4301008.466468634,28-05-2022
57,zar,446717.0399911422,8510492545259.969,495209104472.51666,28-05-2022
58,bits,1000040.4277714872,19051963197277.16,1108596897675.6523,28-05-2022
59,link,4566.185584845718,86991282850.71365,5061854534.072844,28-05-2022
60,sats,100004042.77714871,1905196319727715.8,110859689767565.23,28-05-2022
