,index,current_price,market_cap,total_volume,date
0,aed,125141.38102201284,2382014504363.6514,113168264239.11726,09-05-2022
1,ars,3967723.4175466797,75523976583229.61,3588104657928.2334,09-05-2022
2,aud,48329.5555397594,919933129592.8822,43705542221.245766,09-05-2022
3,bch,130.1328359467565,2477024787.385264,117682153.13220589,09-05-2022
4,bdt,2944970.12271876,56056290013290.914,2663205042986.68,09-05-2022
5,bhd,12847.676237521924,244550211090.94366,11618452724.688677,09-05-2022
6,bmd,34070.31219757961,648514321641.9902,30810576501.52256,09-05-2022
7,bnb,95.78733301159416,1823272323.707161,86622715.24004996,09-05-2022
8,brl,173141.91955688017,3295684931152.4375,156576268723.0878,09-05-2022
9,btc,1.0,19034587.0,904727.0972520027,09-05-2022
10,cad,44013.35803900902,837776092755.6666,39802304337.150375,09-05-2022
11,chf,33699.62720086993,641458485822.5251,30475357429.185978,09-05-2022
12,clp,29266057.4745989,557067317147253.06,26465977109042.855,09-05-2022
13,cny,227133.14329638425,4323385576658.4937,205401789305.0503,09-05-2022
14,czk,809341.5268550548,15405481705635.377,731906384784.9988,09-05-2022
15,dkk,240604.44252837065,4579806193892.772,217584198822.02283,09-05-2022
16,dot,2574.589714314537,49006251906.4252,2328261416.945761,09-05-2022
17,eos,17471.10544028708,332555276489.31775,15799527389.489933,09-05-2022
18,eth,13.527072600367624,257482240.2670137,12232846.6724436,09-05-2022
19,eur,32341.27792386463,615602868332.9807,29246970554.646774,09-05-2022
20,gbp,27636.099668754483,526041743485.5783,24991968318.633503,09-05-2022
21,hkd,267444.3190010678,5090692157681.578,241856123967.81583,09-05-2022
22,huf,12358440.5913333,235237812620065.16,11176025540084.326,09-05-2022
23,idr,493916606.9591851,9401498625909414.0,446660286405286.1,09-05-2022
24,ils,116038.23651687728,2208739908307.078,104936078735.40419,09-05-2022
25,inr,2621974.3641014085,49908199145257.945,2371112458896.588,09-05-2022
26,jpy,4453586.034687108,84772170839236.78,4027481533837.7715,09-05-2022
27,krw,43307853.318115115,824347101766900.9,39164299993391.195,09-05-2022
28,kwd,10458.972579037369,199082223486.3012,9458292395.590384,09-05-2022
29,lkr,12093823.017994633,230200926398621.34,10936725708027.682,09-05-2022
30,ltc,362.6051033265731,6902038385.913645,327912236.6445338,09-05-2022
31,mmk,63077245.664119184,1200649320314049.2,57042221737485.0,09-05-2022
32,mxn,687862.2955505355,13093174708676.38,622049887792.8773,09-05-2022
33,myr,148887.2643034225,2834007585575.4897,134642219311.65321,09-05-2022
34,ngn,14145652.921313113,269256661202538.53,12792243257667.182,09-05-2022
35,nok,324323.75124618533,6173368659261.872,293293518740.9656,09-05-2022
36,nzd,53292.748269141775,1014405453398.0786,48193872953.105034,09-05-2022
37,php,1785727.1369304906,33990578546164.344,1614874622931.995,09-05-2022
38,pkr,6355752.211287175,120979118416188.11,5747654691127.14,09-05-2022
39,pln,152082.00340787752,2894818125001.5405,137531296259.62463,09-05-2022
40,rub,2350851.337211115,44747484302211.305,2125929593741.5928,09-05-2022
41,sar,127824.52031850856,2433086952735.9194,115594689570.34143,09-05-2022
42,sek,339653.7563601106,6465168975313.328,307156799258.9786,09-05-2022
43,sgd,47017.03083265983,894949763865.9459,42518595572.101105,09-05-2022
44,thb,1171396.9223288228,22297056629600.223,1059321507820.6487,09-05-2022
45,try,509480.29383704416,9697746977826.781,460734890782.7032,09-05-2022
46,twd,1010695.8454115083,19238178000023.9,913995782728.2405,09-05-2022
47,uah,1030515.7384777719,19615441478924.4,931919373449.3578,09-05-2022
48,usd,34070.31219757961,648514321641.9902,30810576501.52256,09-05-2022
49,vef,3411.4603603436417,64935739026.012405,3085063025.0974493,09-05-2022
50,vnd,782146744.6759691,1.488784025830152e+16,707313510146459.8,09-05-2022
51,xag,1528.2896093249753,29090361529.892246,1382067873.3884428,09-05-2022
52,xau,18.1036010893059,344594569.9476879,16371507.929849025,09-05-2022
53,xdr,24790.172420578478,471870693684.50165,22418330052.88484,09-05-2022
54,xlm,210584.32140766052,4008385586670.076,190436304402.66025,09-05-2022
55,xrp,60100.980247590174,1143997337308.0366,54350715631.72888,09-05-2022
56,yfi,2.189978148036403,41685329.58689779,1980448.2235279237,09-05-2022
57,zar,547651.3088107243,10424316483221.598,495253828271.9488,09-05-2022
58,bits,1000446.5400205174,19043086704869.51,904727097252.0027,09-05-2022
59,link,3414.4506404643585,64992657773.12454,3087767205.026475,09-05-2022
60,sats,100044654.00205174,1904308670486951.2,90472709725200.27,09-05-2022
