,index,current_price,market_cap,total_volume,date
0,aed,106202.13410853813,2017594770166.3088,242372084592.89648,12-05-2022
1,ars,3385431.980234247,64322927997693.05,7726155535238.582,12-05-2022
2,aud,41707.47565666437,792070415527.0819,95183848261.29907,12-05-2022
3,bch,148.36451774255923,2861358100.7006702,338594113.4491091,12-05-2022
4,bdt,2506038.235720676,47609328699217.07,5719223218625.446,12-05-2022
5,bhd,10903.594510306055,207090430234.211,24883934331.46725,12-05-2022
6,bmd,28913.48836365432,549294001873.1765,65985702701.50493,12-05-2022
7,bnb,107.38680014539244,2029551726.9732325,245075702.36205864,12-05-2022
8,brl,148569.06860780081,2822791115162.158,339060934761.4117,12-05-2022
9,btc,1.0,19037268.0,2284903.8805758627,12-05-2022
10,cad,37565.58953508252,713436781982.9302,85731330363.60579,12-05-2022
11,chf,28746.773189749416,546327814263.0626,65605229139.72788,12-05-2022
12,clp,24898946.87301765,473026360509994.1,56823807811748.11,12-05-2022
13,cny,194347.79473397537,3692189492390.946,443536097848.706,12-05-2022
14,czk,698636.6482444665,13281819106493.057,1594412600362.1636,12-05-2022
15,dkk,204600.51770772674,3885312474745.5117,466934628026.65857,12-05-2022
16,dot,3245.2455333243684,64151380595.944916,7406225228.240286,12-05-2022
17,eos,20526.777499977317,393158584835.2128,46845742737.7073,12-05-2022
18,eth,13.898091997331196,263948714.05979803,31717908.096031405,12-05-2022
19,eur,27502.39447755454,522335201555.2434,62765336466.86069,12-05-2022
20,gbp,23630.473596824148,448260708226.6383,53928927075.29139,12-05-2022
21,hkd,226967.35620910567,4311985379404.5356,517979715951.08325,12-05-2022
22,huf,10438259.816609317,198464663284014.22,23821958122689.652,12-05-2022
23,idr,420572710.3888792,7989371398444984.0,959821432925820.1,12-05-2022
24,ils,99314.07377566527,1886687572933.8958,226652310638.3181,12-05-2022
25,inr,2238443.178077851,42521343049604.414,5108523890480.462,12-05-2022
26,jpy,3754148.2110364377,71383502013428.8,8567631294957.593,12-05-2022
27,krw,36983510.21332318,702636491909879.8,84402922231345.02,12-05-2022
28,kwd,8874.561550898228,168575033410.86685,20253321658.68639,12-05-2022
29,lkr,10402340.850236552,197622070454078.75,23739984678094.914,12-05-2022
30,ltc,435.2444338069411,8178250699.183693,993304904.978951,12-05-2022
31,mmk,53501683.15454683,1016416742154645.4,122100319209627.45,12-05-2022
32,mxn,587468.5935959823,11164291278565.951,1340707405344.5806,12-05-2022
33,myr,126539.88182353327,2403985199197.9688,288786427873.13666,12-05-2022
34,ngn,12004253.032632248,228054951545785.2,27395832069873.332,12-05-2022
35,nok,281897.4037967943,5354630535530.113,643339815843.3203,12-05-2022
36,nzd,45987.481512159444,872865520968.6058,104951579860.79756,12-05-2022
37,php,1508142.009792393,28651449784705.875,3441847245761.852,12-05-2022
38,pkr,5497505.750415955,104440768128233.11,12546282049549.03,12-05-2022
39,pln,128572.81810387001,2441132304662.6436,293425948615.7818,12-05-2022
40,rub,1929975.5217548534,36665377920798.62,4404546051239.664,12-05-2022
41,sar,108463.74716834373,2060508364062.6567,247533486258.2095,12-05-2022
42,sek,291356.56716891774,5533203269069.074,664927302424.9294,12-05-2022
43,sgd,40198.42287198855,763364860283.1913,91739922465.90219,12-05-2022
44,thb,1000805.8770027875,19044572338944.883,2284016312083.566,12-05-2022
45,try,442092.44150817994,8400490494146.978,1008933271732.4965,12-05-2022
46,twd,858690.1255168236,16344792319738.258,1959682990250.9128,12-05-2022
47,uah,874102.4026620925,16606062913141.248,1994856537104.544,12-05-2022
48,usd,28913.48836365432,549294001873.1765,65985702701.50493,12-05-2022
49,vef,2895.1075898527065,55000808407.561226,6607148411.501687,12-05-2022
50,vnd,666593400.5391215,1.2663838828408538e+16,1521284232381028.5,12-05-2022
51,xag,1339.3314753858467,25477508197.20233,3056591700.1101933,12-05-2022
52,xau,15.578298395453347,296514395.1511593,35552436.75854392,12-05-2022
53,xdr,21121.823692440044,401269155660.3889,48203743566.098015,12-05-2022
54,xlm,229766.16777782698,4496397154072.171,524367099782.7529,12-05-2022
55,xrp,69405.75109475828,1403814225256.388,158396219781.98895,12-05-2022
56,yfi,2.49100223526725,44341074.95448773,5684908.401843025,12-05-2022
57,zar,465258.50665490713,8845926732615.975,1061802336450.9965,12-05-2022
58,bits,1001194.7900585452,19037716327187.2,2284903880575.863,12-05-2022
59,link,4169.5818049025,79825137901.31035,9515724353.542763,12-05-2022
60,sats,100119479.00585452,1903771632718720.0,228490388057586.28,12-05-2022
