,index,current_price,market_cap,total_volume,date
0,aed,108326.70162110536,2063400197072.631,53244579567.398254,30-05-2022
1,ars,3526026.9784618127,67166036556580.195,1733107545987.7659,30-05-2022
2,aud,41177.28552620212,784317626082.8995,20239398253.23903,30-05-2022
3,bch,158.80037299562173,3028887717.0124793,78053323.59210832,30-05-2022
4,bdt,2589899.2109977882,49332237226818.02,1272983415426.4226,30-05-2022
5,bhd,11113.630493987783,211691734432.15878,5462555161.972243,30-05-2022
6,bmd,29492.503214953642,561771345708.952,14496111397.934435,30-05-2022
7,bnb,96.33813595624231,1834036023.915992,47351977.5690982,30-05-2022
8,brl,139531.98196026724,2657796413683.63,68582552634.767624,30-05-2022
9,btc,1.0,19053050.0,491592.0037668863,30-05-2022
10,cad,37526.55601573908,714676517669.3988,18444997103.84571,30-05-2022
11,chf,28251.340709655524,538212340783.9558,13886057045.863756,30-05-2022
12,clp,24375553.907159172,464304017228450.2,11981036070392.803,30-05-2022
13,cny,197558.4820356887,3763081536365.997,97103651810.20372,30-05-2022
14,czk,678873.1852534093,12931358429739.818,333678740213.3533,30-05-2022
15,dkk,204483.32179055904,3895041625473.0337,100507338766.43834,30-05-2022
16,dot,2955.0153341047812,56188894897.00019,1452444750.2329342,30-05-2022
17,eos,22764.660905741934,433782782360.57153,11189252333.742834,30-05-2022
18,eth,16.250685366198383,309613888.7047259,7987512.746688531,30-05-2022
19,eur,27488.84153153608,523625386021.2781,13511274581.781546,30-05-2022
20,gbp,23356.587921082468,444897064319.5878,11480195421.594141,30-05-2022
21,hkd,231493.88339745815,4409483735306.001,113783529909.67955,30-05-2022
22,huf,10834778.87609035,206325273771208.66,5325494428704.75,30-05-2022
23,idr,429916086.7753107,8189014572599505.0,211311716751770.03,30-05-2022
24,ils,98573.91421046165,1877629716074.1707,48450903977.54934,30-05-2022
25,inr,2291338.6379769426,43645274215942.9,1126235365795.054,30-05-2022
26,jpy,3753673.092934827,71514615851441.16,1844999826227.8013,30-05-2022
27,krw,36942045.42168459,703669756972632.9,18157699324375.08,30-05-2022
28,kwd,9013.321877534829,171685188047.4959,4430214588.768328,30-05-2022
29,lkr,10462495.833798064,199288962391195.1,5142510420419.734,30-05-2022
30,ltc,462.1004640609686,8783987206.347223,227130934.09678984,30-05-2022
31,mmk,54568910.421177246,1039425172483591.2,26821629841451.016,30-05-2022
32,mxn,577615.1583253549,11002741222786.402,283908545137.47797,30-05-2022
33,myr,129147.67157828136,2459996722859.502,63478471811.55457,30-05-2022
34,ngn,12245877.184913073,233258698165271.72,6019075374650.347,30-05-2022
35,nok,278910.3964562936,5312896324907.85,137089624017.4859,30-05-2022
36,nzd,45136.97850034501,859634872173.4452,22185660665.6371,30-05-2022
37,php,1539803.5633602268,29330081397693.027,756841961590.0457,30-05-2022
38,pkr,5884020.7971647885,112078457949501.78,2892105167262.1753,30-05-2022
39,pln,125649.00541439504,2393500410439.287,61758812612.52921,30-05-2022
40,rub,1961251.6702419382,37357798422044.875,963991509435.419,30-05-2022
41,sar,110626.37955929062,2107204317754.288,54374913853.651825,30-05-2022
42,sek,289752.96135323285,5519291117321.328,142418945419.5998,30-05-2022
43,sgd,40364.76706263019,769008795140.9845,19840030384.225956,30-05-2022
44,thb,1005122.617962596,19161898697750.344,494036377054.0048,30-05-2022
45,try,481883.90852977,9179904998458.656,236854863353.13004,30-05-2022
46,twd,864454.7912260088,16466080475846.465,424895535680.9673,30-05-2022
47,uah,870756.9262679995,16586123147625.625,427993151741.14636,30-05-2022
48,usd,29492.503214953642,561771345708.952,14496111397.934435,30-05-2022
49,vef,2953.0843469133083,56250164845.837494,1451495634.275175,30-05-2022
50,vnd,684201452.5346752,1.303262622114557e+16,336297682237509.3,30-05-2022
51,xag,1338.1657077723455,25488762527.781498,657733222.1473893,30-05-2022
52,xau,15.947186338389685,303789090.61903125,7838337.355091084,30-05-2022
53,xdr,21410.64306645669,407828582072.982,10523727495.44707,30-05-2022
54,xlm,224147.28788436545,4272065646724.1143,110172542189.2693,30-05-2022
55,xrp,75654.64763870461,1441290414753.8843,37185660096.36233,30-05-2022
56,yfi,3.9634876467976894,75434240.64990148,1948127.5642680854,30-05-2022
57,zar,460050.60839973943,8763408284521.381,226123392085.23898,30-05-2022
58,bits,1000149.51275873,19056709200245.047,491592003766.8863,30-05-2022
59,link,4390.188097803087,83598515187.66286,2157858736.499911,30-05-2022
60,sats,100014951.275873,1905670920024504.8,49159200376688.63,30-05-2022
