,index,current_price,market_cap,total_volume,date
0,aed,109912.40084833842,2092939516852.764,104382814097.11588,17-05-2022
1,ars,3525314.204015981,67128634712367.26,3347959050585.01,17-05-2022
2,aud,42910.751664949275,817101684289.026,40751953184.88595,17-05-2022
3,bch,151.55649834330532,2885921715.568907,143931837.2601834,17-05-2022
4,bdt,2620551.653476072,49900248463154.52,2488714230290.7637,17-05-2022
5,bhd,11283.474030733725,214858637460.6662,10715813347.985094,17-05-2022
6,bmd,29923.606993639707,569801943005.2971,28418179221.125336,17-05-2022
7,bnb,100.4097319389736,1911990769.282226,95358215.28445452,17-05-2022
8,brl,151449.35971620976,2883881593938.419,143830088673.96,17-05-2022
9,btc,1.0,19041887.0,949549.8754877766,17-05-2022
10,cad,38451.14674386612,732182391317.1166,36516706681.023926,17-05-2022
11,chf,29980.28230528568,570881147885.3494,28472003252.570168,17-05-2022
12,clp,25667871.607004292,488764710671084.1,24376545772296.91,17-05-2022
13,cny,203067.58178023738,3866789945622.5396,192851447830.4004,17-05-2022
14,czk,708938.1274505147,13499519712904.299,673272134835.2131,17-05-2022
15,dkk,213348.2259697939,4062552810567.281,202614882738.1485,17-05-2022
16,dot,2811.917800560772,53544221011.56676,2670452931.305823,17-05-2022
17,eos,22630.40104478254,430925539459.4311,21491887420.967228,17-05-2022
18,eth,14.767116416698247,281193762.122613,14024197.049444973,17-05-2022
19,eur,28668.850305182383,545909007931.19836,27226548130.025085,17-05-2022
20,gbp,24280.762804814105,462351541603.07336,23059221074.50163,17-05-2022
21,hkd,234898.81871972157,4472916762494.424,223081285976.8724,17-05-2022
22,huf,11179120.867516233,212871556318586.03,10616710091641.82,17-05-2022
23,idr,438306033.43933755,8346173960170088.0,416255280141433.3,17-05-2022
24,ils,101439.08267398423,1931591549661.665,96335780377.96571,17-05-2022
25,inr,2328225.4231722234,44333805418572.65,2211094650352.54,17-05-2022
26,jpy,3857111.796520538,73446686975711.08,3663064226606.623,17-05-2022
27,krw,38327701.66106745,729831763999758.6,36399472001137.74,17-05-2022
28,kwd,9188.103374611062,174958826203.6625,8725858766.20498,17-05-2022
29,lkr,10453222.907406332,199049089388642.8,9927331356951.277,17-05-2022
30,ltc,445.3233936348498,8479797740.05133,422919603.72173053,17-05-2022
31,mmk,55419223.65622115,1055286594489490.0,52631136028917.6,17-05-2022
32,mxn,599215.172958053,11410187612152.7,569069236230.7462,17-05-2022
33,myr,131604.02355802731,2505988945337.294,124983152214.50911,17-05-2022
34,ngn,12441360.13344389,236906973787343.47,11815447318965.322,17-05-2022
35,nok,292299.8676060919,5565941049070.162,277594543522.33374,17-05-2022
36,nzd,47415.870392269746,902887646016.2462,45030423739.343285,17-05-2022
37,php,1568745.2163359877,29871869141260.438,1489823159340.2107,17-05-2022
38,pkr,5794706.494318326,110342146262975.7,5503180406170.918,17-05-2022
39,pln,133528.620189037,2542636896905.561,126810924247.474,17-05-2022
40,rub,1933813.2515820046,36823453415727.11,1836524974256.1243,17-05-2022
41,sar,112250.63149882141,2137463840679.1978,106603410621.45457,17-05-2022
42,sek,301046.86709001055,5732500424831.999,285901489908.6409,17-05-2022
43,sgd,41624.335800292756,792605898759.2292,39530255660.16981,17-05-2022
44,thb,1039800.4576184856,19799762816519.5,987489100665.27,17-05-2022
45,try,466969.85657854547,8891987241374.87,443477054017.3497,17-05-2022
46,twd,889547.982334812,16938672160697.488,844795682323.801,17-05-2022
47,uah,884305.4262367401,16838843999886.84,839816874160.618,17-05-2022
48,usd,29923.606993639707,569801943005.2971,28418179221.125336,17-05-2022
49,vef,2996.250768273145,57054268553.120415,2845512285.4112806,17-05-2022
50,vnd,691158352.9488765,1.3160959255958624e+16,656386843619948.1,17-05-2022
51,xag,1384.3588227074563,26360804269.44841,1314713067.1248465,17-05-2022
52,xau,16.36970920587058,311710152.92104733,15546164.942916596,17-05-2022
53,xdr,21838.936626919098,415854563449.95465,20740240813.69934,17-05-2022
54,xlm,220109.81998297435,4191306319706.1406,209036307485.76974,17-05-2022
55,xrp,70733.91806272801,1346907274817.7256,67175362948.265366,17-05-2022
56,yfi,3.078504869178667,58620541.84784996,2923628.2619278315,17-05-2022
57,zar,483092.12747818505,9198985702029.195,458788229036.2862,17-05-2022
58,bits,999851.435725817,19039058055878.77,949549875487.7766,17-05-2022
59,link,4030.795880640793,76753959679.22746,3828010432.1705284,17-05-2022
60,sats,99985143.5725817,1903905805587876.8,94954987548777.66,17-05-2022
