,index,current_price,market_cap,total_volume,date
0,aed,134480.38035570784,2556554528972.56,137381445486.12625,06-05-2022
1,ars,4252491.826468631,80842484621409.23,4344228299272.5156,06-05-2022
2,aud,51400.31179808957,977404810969.7356,52509140103.42045,06-05-2022
3,bch,131.77025837750608,2510734274.310246,134612859.66100982,06-05-2022
4,bdt,3170633.2478591786,60275683100276.74,3239031430050.3633,06-05-2022
5,bhd,13803.542784489686,262413816262.34976,14101318389.692472,06-05-2022
6,bmd,36612.229548803036,696020943881.887,37402043365.58407,06-05-2022
7,bnb,96.58627578462863,1837828703.5209591,98669873.97207136,06-05-2022
8,brl,184141.24512793374,3500498829086.1104,188113614509.24777,06-05-2022
9,btc,1.0,19031800.0,1021914.8875679963,06-05-2022
10,cad,46964.33745372706,892843834455.6384,47977471127.20293,06-05-2022
11,chf,36067.659246494135,685500587315.112,36845725372.56437,06-05-2022
12,clp,31569993.29534188,600164939490472.5,32251033953275.832,06-05-2022
13,cny,243676.35498501325,4632436994100.286,248933039823.98114,06-05-2022
14,czk,853354.1484883159,16226127458435.264,871763049158.6527,06-05-2022
15,dkk,258384.95208394955,4912808150714.786,263958936725.67102,06-05-2022
16,dot,2508.268529866681,47860592378.09196,2562377912.592064,06-05-2022
17,eos,18091.120992457363,344283736195.1407,18481389968.069843,06-05-2022
18,eth,13.2966823930909,252871104.76741466,13583523.801025745,06-05-2022
19,eur,34729.15274641945,660331077942.4562,35478344069.16199,06-05-2022
20,gbp,29605.051547687177,562912506532.0267,30243703687.888306,06-05-2022
21,hkd,287382.2040088964,5463321044131.564,293581729091.6466,06-05-2022
22,huf,13213282.213703195,251326202626310.1,13498324479252.717,06-05-2022
23,idr,529367073.98875505,1.006359282235223e+16,540786794512137.9,06-05-2022
24,ils,125217.48627986158,2380461230170.442,127918728514.63441,06-05-2022
25,inr,2801716.0846040826,53262341510664.67,2862155836610.1255,06-05-2022
26,jpy,4770238.769719977,90641415479850.38,4873144288889.394,06-05-2022
27,krw,46485352.57865711,883758391882687.4,47488153396772.32,06-05-2022
28,kwd,11229.044027076938,213471015530.46292,11471281504.311314,06-05-2022
29,lkr,12803621.240631375,243404694301162.66,13079826134059.19,06-05-2022
30,ltc,377.1829649981046,7182084496.678284,385319708.40000105,06-05-2022
31,mmk,67887496.88590857,1290582962103534.2,69351993413105.82,06-05-2022
32,mxn,740229.754852884,14075561946028.998,756198290371.7584,06-05-2022
33,myr,159299.81076684187,3026647074470.3916,162736290683.65616,06-05-2022
34,ngn,15209109.489021761,289134501575252.4,15537206547392.732,06-05-2022
35,nok,347184.6197539112,6602163736909.043,354674226724.99164,06-05-2022
36,nzd,56915.94417961672,1082422539045.4664,58143757936.44567,06-05-2022
37,php,1922508.2102198729,36485415790225.71,1963981334528.859,06-05-2022
38,pkr,6804366.276305052,129355177122961.05,6951152816368.148,06-05-2022
39,pln,162813.92578339507,3096816425927.844,166326213609.97162,06-05-2022
40,rub,2373387.9269500747,45119560471227.12,2424587610782.1606,06-05-2022
41,sar,137326.24895853634,2610735583328.0923,140288706316.93317,06-05-2022
42,sek,364189.7189512967,6924968506388.231,372046166796.7883,06-05-2022
43,sgd,50678.02573355079,963304122667.634,51771272591.90422,06-05-2022
44,thb,1256824.61595131,23885030561560.562,1283937344653.7693,06-05-2022
45,try,544606.9145384446,10346056217924.047,556355395063.0625,06-05-2022
46,twd,1084516.443413552,20617322897365.105,1107912070560.281,06-05-2022
47,uah,1077950.6624518714,20492503373435.945,1101204649917.3958,06-05-2022
48,usd,36612.229548803036,696020943881.887,37402043365.58407,06-05-2022
49,vef,3665.982544721641,69692577110.89331,3745066602.195926,06-05-2022
50,vnd,840501137.4964718,1.5978442238113298e+16,858632767817701.2,06-05-2022
51,xag,1628.7305453411625,30943894008.965244,1663866179.1000693,06-05-2022
52,xau,19.52090855083077,370902600.7852182,19942021.481662083,06-05-2022
53,xdr,26586.226772470116,505420480546.43933,27159755604.222385,06-05-2022
54,xlm,213025.0118505167,4059302368154.489,217620473524.19626,06-05-2022
55,xrp,60968.615028429595,1160295688965.945,62283854639.15229,06-05-2022
56,yfi,2.163084209285969,41093986.3190056,2209747.136302682,06-05-2022
57,zar,585550.3708428707,11131272245764.385,598182100158.7948,06-05-2022
58,bits,1000335.2511324607,19040182277142.23,1021914887567.9963,06-05-2022
59,link,3347.179333182734,63754091807.73868,3419386038.897494,06-05-2022
60,sats,100033525.11324607,1904018227714223.2,102191488756799.64,06-05-2022
