,index,current_price,market_cap,total_volume,date
0,aed,106983.13659460496,2039548197958.6113,225300902689.61728,13-05-2022
1,ars,3415168.1658087433,65108689634216.875,7192165934611.011,13-05-2022
2,aud,42381.906501900776,808770175055.3037,89254083368.00188,13-05-2022
3,bch,149.29360600910687,2850591723.549255,314404543.279544,13-05-2022
4,bdt,2525250.1871792097,48141881352502.37,5318045112516.283,13-05-2022
5,bhd,10982.351542466853,209358670238.9573,23128259227.887234,13-05-2022
6,bmd,29126.11597686014,555266177876.6213,61338080283.57989,13-05-2022
7,bnb,107.90565499012288,2053540775.7065356,227243678.2884068,13-05-2022
8,brl,149559.6929295792,2851124688276.9077,314964908448.15454,13-05-2022
9,btc,1.0,19038250.0,2106383.7651994457,13-05-2022
10,cad,37935.45538464135,723333589330.1396,79890089355.74998,13-05-2022
11,chf,29216.028296880755,557071903487.0762,61527430937.4154,13-05-2022
12,clp,25217889.007213693,480758946859825.06,53107558238653.64,13-05-2022
13,cny,197678.94913494936,3768591549248.6387,416301550884.6559,13-05-2022
14,czk,699582.043719626,13368810605028.7,1473283275968.443,13-05-2022
15,dkk,208725.23250198574,3980717110851.9424,439564447198.7662,13-05-2022
16,dot,3321.0118439328144,64013630476.41411,6993877634.343968,13-05-2022
17,eos,22783.641511686914,433803305043.39465,47981160045.72778,13-05-2022
18,eth,14.798964008238318,281479787.7823038,31165845.908610146,13-05-2022
19,eur,28051.915693517538,534993409722.3453,59075870544.64113,13-05-2022
20,gbp,23860.521973867548,455108930509.7706,50249014101.43271,13-05-2022
21,hkd,228637.3016895661,4358795075037.251,481498225784.63544,13-05-2022
22,huf,10745500.909080775,204883780111449.3,22629464154167.344,13-05-2022
23,idr,426177697.89081407,8124738004617420.0,897507991421383.4,13-05-2022
24,ils,100356.07142639048,1913208484506.3572,211344649282.6954,13-05-2022
25,inr,2255673.5955120795,43002005560902.02,4750330878480.098,13-05-2022
26,jpy,3743562.210836245,71366696043948.55,7883746656000.349,13-05-2022
27,krw,37597446.80872996,716765973162818.5,79178260934059.2,13-05-2022
28,kwd,8938.68848883447,170408413659.44586,18824411486.709538,13-05-2022
29,lkr,10506769.194620404,200303177298465.7,22126707621870.33,13-05-2022
30,ltc,451.97643663467005,8640879493.126001,951838788.8934168,13-05-2022
31,mmk,53911786.325846575,1027785220639675.1,113535408583594.72,13-05-2022
32,mxn,588155.3394932433,11221777311953.78,1238624451736.5217,13-05-2022
33,myr,127965.59054433493,2439561952500.933,269488855725.90805,13-05-2022
34,ngn,12102267.128906572,230720073271994.28,25486743009468.234,13-05-2022
35,nok,287366.0369006676,5481226784982.383,605177877345.2341,13-05-2022
36,nzd,46624.24179839437,889420366327.1716,98188220113.62643,13-05-2022
37,php,1525917.0703971258,29090392282625.24,3213501719366.355,13-05-2022
38,pkr,5586885.732017533,106509521870867.39,11765689796673.709,13-05-2022
39,pln,130895.47392879539,2496249076600.3643,275659037235.8746,13-05-2022
40,rub,1896838.3612452492,36161710944747.305,3994642601144.3022,13-05-2022
41,sar,109250.83773233101,2082812872740.2412,230076562944.33554,13-05-2022
42,sek,295734.9311826472,5639535393359.718,622802331967.3569,13-05-2022
43,sgd,40666.37827086373,775485854554.8462,85641270439.29906,13-05-2022
44,thb,1011895.6183685337,19293833882679.05,2130999365909.3735,13-05-2022
45,try,448909.175104955,8557984439905.649,945379296178.7042,13-05-2022
46,twd,869041.718498655,16567587447274.164,1830156507699.149,13-05-2022
47,uah,882969.5358976305,16833110180872.975,1859487764309.9553,13-05-2022
48,usd,29126.11597686014,555266177876.6213,61338080283.57989,13-05-2022
49,vef,2916.397992763005,55598802390.78607,6141781978.794852,13-05-2022
50,vnd,672736259.7410729,1.282518039694043e+16,1416747455872816.0,13-05-2022
51,xag,1399.5538531232526,26730191748.59745,2947387378.1272373,13-05-2022
52,xau,15.98324740346175,304946632.2280622,33659884.93641726,13-05-2022
53,xdr,21266.346202156466,405425933978.0822,44785815304.81493,13-05-2022
54,xlm,240172.2397232967,4568865273812.119,505790203326.06934,13-05-2022
55,xrp,75112.46577265135,1432564536508.4373,158182933128.49768,13-05-2022
56,yfi,2.923486263752439,55541403.17441907,6156709.507592963,13-05-2022
57,zar,468129.4990380849,8946777930791.617,985856295357.8384,13-05-2022
58,bits,1000207.009305407,19059872806044.297,2106383765199.4456,13-05-2022
59,link,4425.985523672466,84285981642.9699,9320894540.166918,13-05-2022
60,sats,100020700.9305407,1905987280604429.8,210638376519944.53,13-05-2022
