,index,current_price,market_cap,total_volume,date
0,aed,138915.2961169769,2643135226944.6904,76970720293.26,01-05-2022
1,ars,4360561.623312383,82968214142053.28,2416116715806.957,01-05-2022
2,aud,53518.01885786475,1018284990015.7628,29653469238.472847,01-05-2022
3,bch,134.90328480606868,2566798864.2605376,74747729.67194444,01-05-2022
4,bdt,3277676.4589010533,62364205765746.14,1816107548857.9255,01-05-2022
5,bhd,14254.210368220914,271214233490.88306,7898027574.513692,01-05-2022
6,bmd,37820.61176529208,719611115951.2947,20955789685.355682,01-05-2022
7,bnb,99.75948317146124,1898119296.8861334,55275117.21477243,01-05-2022
8,brl,188072.44715585554,3578446176846.7876,104207903157.85208,01-05-2022
9,btc,1.0,19026956.0,554785.9059629383,01-05-2022
10,cad,48643.92533722452,925545827058.6561,26952812798.562332,01-05-2022
11,chf,36823.471336100156,700638568879.239,20403290290.301277,01-05-2022
12,clp,32242449.736029107,613475672459637.5,17865020264662.547,01-05-2022
13,cny,249937.51285093254,4755550059764.127,138486336135.6729,01-05-2022
14,czk,882271.6671383793,16786944190688.588,488852470622.0395,01-05-2022
15,dkk,266786.5953923697,5076136811920.421,147822140440.49866,01-05-2022
16,dot,2592.88374890203,49334685003.473976,1436674976.538363,01-05-2022
17,eos,18695.532520389013,355719074662.0108,10358892394.028786,01-05-2022
18,eth,13.81020793747498,262766218.7771872,7652013.004039791,01-05-2022
19,eur,35870.35409900302,682503649146.1501,19875183434.440624,01-05-2022
20,gbp,30079.640231619127,572323991182.847,16666642475.715803,01-05-2022
21,hkd,296769.64178154094,5646622916313.141,164435261829.35837,01-05-2022
22,huf,13572339.873440992,258240313589007.28,7520214154415.327,01-05-2022
23,idr,549348167.952044,1.0452423420304152e+16,304384940758759.75,01-05-2022
24,ils,126385.13833607636,2404724466174.439,70027962391.55296,01-05-2022
25,inr,2894214.6377547863,55068094567116.25,1603637551646.5364,01-05-2022
26,jpy,4910817.552132861,93437909488459.66,2721004632190.7954,01-05-2022
27,krw,47785775.65627004,909217850837721.1,26477325930601.61,01-05-2022
28,kwd,11598.333548226828,220680982095.43576,6426449155.4389715,01-05-2022
29,lkr,13237027.737877475,251860344339374.34,7334423119742.934,01-05-2022
30,ltc,393.44955520235106,7486147375.054706,218004039.22031942,01-05-2022
31,mmk,70024103.16991277,1332345529953390.8,38799223768267.555,01-05-2022
32,mxn,771529.1338284281,14679850882071.613,427491822844.34985,01-05-2022
33,myr,164652.03332019912,3132826993293.9624,91231030395.19597,01-05-2022
34,ngn,15705387.24165519,298825712009934.7,8702101224740.8,01-05-2022
35,nok,354835.3244598998,6751436105744.237,196608518086.96753,01-05-2022
36,nzd,58589.800716202146,1114785560275.9468,32463661591.068707,01-05-2022
37,php,1981062.5167512696,37693589339475.68,1097674720657.9833,01-05-2022
38,pkr,7023287.604814732,133631784232155.3,3891490144570.546,01-05-2022
39,pln,167559.00118170315,3188137742888.213,92841734301.99187,01-05-2022
40,rub,2698504.015488031,51344317168514.086,1495197459115.4062,01-05-2022
41,sar,141851.04546403416,2698993600598.178,78597371556.00635,01-05-2022
42,sek,371800.44063823286,7074230624804.27,206008614754.54785,01-05-2022
43,sgd,52313.65929681076,995369693639.4093,28986153071.73236,01-05-2022
44,thb,1294427.4947630258,24629014988046.324,717221353042.4453,01-05-2022
45,try,561700.3797545881,10687448410773.838,311229101669.99677,01-05-2022
46,twd,1113873.7474054985,21193626781439.543,617179439918.2521,01-05-2022
47,uah,1144058.4154759897,21767949132691.38,633904276621.9241,01-05-2022
48,usd,37820.61176529208,719611115951.2947,20955789685.355682,01-05-2022
49,vef,3786.9778560586915,72054661040.20305,2098303221.1946616,01-05-2022
50,vnd,868540871.8362914,1.6525688952630756e+16,481244458875722.9,01-05-2022
51,xag,1609.7303331073003,30628268219.89794,891925559.5355284,01-05-2022
52,xau,19.937513698191335,379350195.8848839,11047054.09053208,01-05-2022
53,xdr,27573.45739299202,524638960584.33386,15278007072.215693,01-05-2022
54,xlm,222681.44241100916,4236950006770.806,123384188044.23358,01-05-2022
55,xrp,64409.472613645405,1225516201403.0361,35688247726.20136,01-05-2022
56,yfi,2.2713041285113387,43216003.71580359,1258492.9065648632,01-05-2022
57,zar,598106.5006398582,11380146070988.555,331401144821.1201,01-05-2022
58,bits,1001267.0807124488,19051064688964.215,554785905962.9382,01-05-2022
59,link,3429.811951540282,65258881090.23108,1900403366.3663929,01-05-2022
60,sats,100126708.07124488,1905106468896421.5,55478590596293.83,01-05-2022
