,index,current_price,market_cap,total_volume,date
0,aed,108925.87648454052,2074880004509.594,86268031144.37076,25-05-2022
1,ars,3530695.205888071,67254624164119.22,2796269663490.489,25-05-2022
2,aud,41749.14647398673,795260704067.0599,33064839912.304485,25-05-2022
3,bch,151.54669618762605,2886744819.664805,120023226.14678353,25-05-2022
4,bdt,2609706.087555426,49711116894103.91,2066856960942.9583,25-05-2022
5,bhd,11181.961393447644,213000150701.15704,8855983765.088196,25-05-2022
6,bmd,29655.02613175249,564885248021.9939,23486436836.56051,25-05-2022
7,bnb,90.32443364331775,1720549490.4764204,71535904.1039738,25-05-2022
8,brl,142919.4329393676,2722407964317.191,113190533690.11945,25-05-2022
9,btc,1.0,19048550.0,791775.5366732844,25-05-2022
10,cad,38027.4406944518,724367605440.2998,30117292089.316147,25-05-2022
11,chf,28481.013302222527,542522005938.05096,22556632288.637905,25-05-2022
12,clp,24624050.948500738,469052465695063.75,19501962827238.066,25-05-2022
13,cny,197324.54388068125,3758746440338.35,156278750710.4738,25-05-2022
14,czk,680413.8160747691,12960896596191.043,538879852709.09564,25-05-2022
15,dkk,205539.3419794905,3915226432663.424,162784775551.44324,25-05-2022
16,dot,2909.9982949585255,55431248021.43223,2304684907.219242,25-05-2022
17,eos,22024.524636206923,419535258759.01935,17443168130.264458,25-05-2022
18,eth,14.983574479591022,285415367.6532135,11866817.248358907,25-05-2022
19,eur,27628.905781352812,526290593221.38806,21881773012.576225,25-05-2022
20,gbp,23647.18473269467,450444580739.97107,18728296111.40492,25-05-2022
21,hkd,232769.71386465832,4433925533036.637,184350914339.37265,25-05-2022
22,huf,10577477.255241428,201485604370329.16,8377239336821.39,25-05-2022
23,idr,434026514.2104103,8267575757262711.0,343743966574374.6,25-05-2022
24,ils,99709.3909130528,1899319318276.832,78968681439.93584,25-05-2022
25,inr,2297643.2227583304,43766771810873.19,1819706790495.2756,25-05-2022
26,jpy,3759575.2479051924,71614457088484.44,2977540002828.637,25-05-2022
27,krw,37398398.28014508,712385259559257.6,29619097791139.04,25-05-2022
28,kwd,9068.2104408286,172736259992.64563,7181917520.251843,25-05-2022
29,lkr,10682153.418206206,203479533494371.9,8460141644134.935,25-05-2022
30,ltc,421.4837280262529,8028653867.49448,333810225.3542556,25-05-2022
31,mmk,54938797.29288791,1046504427173440.0,43510890422532.266,25-05-2022
32,mxn,588545.3326910558,11210935197032.21,466121079114.4935,25-05-2022
33,myr,130348.66736211785,2482953107680.669,103234633115.10155,25-05-2022
34,ngn,12313382.428936118,234552080866711.12,9752056105995.809,25-05-2022
35,nok,283559.49160517106,5401397153815.682,224575829385.67093,25-05-2022
36,nzd,45975.69941838861,875770409156.1464,36412220835.99843,25-05-2022
37,php,1551847.6064396845,29560446723646.66,1229045310116.5205,25-05-2022
38,pkr,5961301.720352507,113554153885220.75,4721281839263.874,25-05-2022
39,pln,127011.67623659072,2419388265376.51,100591774837.19437,25-05-2022
40,rub,1694040.520893856,32269015564272.66,1341660449590.5857,25-05-2022
41,sar,111253.29190043845,2119213893430.096,88111317166.61423,25-05-2022
42,sek,289341.8361855228,5511542433671.74,229155379245.12112,25-05-2022
43,sgd,40663.7725175646,774585903989.4552,32205236324.086376,25-05-2022
44,thb,1011577.5128583566,19269084832558.055,801157660609.6469,25-05-2022
45,try,477520.058286545,9096064706274.166,378190349160.716,25-05-2022
46,twd,876169.6090730802,16689760606909.021,693916170910.915,25-05-2022
47,uah,872346.7796544363,16616941249586.512,690888534338.3142,25-05-2022
48,usd,29655.02613175249,564885248021.9939,23486436836.56051,25-05-2022
49,vef,2969.3577665723833,56561959884.44237,2351696920.444809,25-05-2022
50,vnd,687996606.256658,1.3105337754110262e+16,544885334608204.0,25-05-2022
51,xag,1339.7043570358912,25519425430.216022,1061030316.4595095,25-05-2022
52,xau,15.87819064172426,302456508.3484166,12575342.875399612,25-05-2022
53,xdr,21590.519705379185,411268094133.90076,17099441257.478893,25-05-2022
54,xlm,222859.4851565187,4245150045978.204,176502128114.8894,25-05-2022
55,xrp,72454.4392637506,1380152009037.5166,57383075763.822464,25-05-2022
56,yfi,3.2631213012630678,62157729.263174616,2584354.2336349688,25-05-2022
57,zar,464000.1835979484,8838530697274.7,367482765174.7439,25-05-2022
58,bits,999731.2233406949,19043430194366.395,791775536673.2843,25-05-2022
59,link,4097.224651680487,78046188638.76834,3244954415.4627132,25-05-2022
60,sats,99973122.33406949,1904343019436639.5,79177553667328.44,25-05-2022
