,index,current_price,market_cap,total_volume,date
0,aed,116581.30118946629,2221834936469.215,128152275216.62149,31-05-2022
1,ars,3809212.4580185986,72590865022671.39,4187285939494.1313,31-05-2022
2,aud,44106.830340403314,840906662223.5942,48484539141.74461,31-05-2022
3,bch,161.96244346279576,3085044933.293429,178037604.8099564,31-05-2022
4,bdt,2826105.15730194,53860602931721.586,3106602878973.49,31-05-2022
5,bhd,11965.636352692,228044022619.8065,13153254487.356405,31-05-2022
6,bmd,31740.94072516695,604926607440.7722,34891305294.623,31-05-2022
7,bnb,98.59174596853697,1877830953.1742013,108377213.45135231,31-05-2022
8,brl,150883.73583115352,2875579121130.4463,165859308848.51978,31-05-2022
9,btc,1.0,19053993.0,1099298.536157269,31-05-2022
10,cad,40170.85846766043,765806838689.6458,44157912611.29546,31-05-2022
11,chf,30415.56600424688,579704192543.53,33434383950.740726,31-05-2022
12,clp,26351008.533496045,502203962158299.94,28966409392977.766,31-05-2022
13,cny,211435.92845255448,4029597610145.2095,232421451959.07205,31-05-2022
14,czk,727949.908685052,13875805916549.83,800200684757.4141,31-05-2022
15,dkk,219175.13158392836,4177952835987.022,240928789581.2291,31-05-2022
16,dot,3035.5098729437273,57778883683.043526,3336791515.3738656,31-05-2022
17,eos,22907.534712594013,436295678064.4364,25181162528.38589,31-05-2022
18,eth,15.905010823935447,303278553.80920464,17483621.332376126,31-05-2022
19,eur,29460.41761594518,561547320421.194,32384434791.814957,31-05-2022
20,gbp,25098.609282433492,478364467558.62085,27589706509.533188,31-05-2022
21,hkd,249117.1862344369,4747677554287.6,273842665039.5843,31-05-2022
22,huf,11612035.480452353,221356192389025.25,12764557879635.004,31-05-2022
23,idr,461467253.77987635,8794755728608041.0,507268986591141.7,31-05-2022
24,ils,106001.72823636026,2020206848943.1238,116522654248.86998,31-05-2022
25,inr,2461625.7759294054,46914265784222.445,2705948043971.0366,31-05-2022
26,jpy,4056054.199694331,77331086475418.58,4458627316639.756,31-05-2022
27,krw,39268939.6369548,748287934266049.5,43166476171348.74,31-05-2022
28,kwd,9708.633280547554,185029506344.51642,10672238441.771648,31-05-2022
29,lkr,11580718.94784557,220708172624851.4,12730133105983.418,31-05-2022
30,ltc,459.4987600278793,8757535290.822598,505105115.10837156,31-05-2022
31,mmk,58743078.631672114,1119539952359019.5,64573470214088.49,31-05-2022
32,mxn,620491.6521606956,11828492911253.879,682076938291.1849,31-05-2022
33,myr,138590.46948829672,2641291046068.6445,152345906307.91272,31-05-2022
34,ngn,13172012.350636082,251035431288286.38,14479366199319.568,31-05-2022
35,nok,298736.94186469127,5690251206790.728,328387300541.42596,31-05-2022
36,nzd,48385.604372978065,922784083467.3103,53187991769.375755,31-05-2022
37,php,1661320.9010371245,31676377476955.28,1826210988903.1838,31-05-2022
38,pkr,6305789.262972472,120177273229393.9,6931653986029.459,31-05-2022
39,pln,135105.79031078416,2575236690095.75,148515364356.1424,31-05-2022
40,rub,2051254.8663423136,39093316673786.28,2254846836404.037,31-05-2022
41,sar,119059.28469093844,2269060951785.505,130876204529.66641,31-05-2022
42,sek,309584.18617093173,5900735419849.749,340311159886.726,31-05-2022
43,sgd,43383.00992810667,827116150353.7675,47688877815.8061,31-05-2022
44,thb,1081805.025859937,20621132606589.13,1189176771834.259,31-05-2022
45,try,520192.75526254467,9912705468654.14,571823135081.9891,31-05-2022
46,twd,920106.389741141,17535612496493.102,1011429157880.5332,31-05-2022
47,uah,937379.6827200134,17864811136555.94,1030416866656.6453,31-05-2022
48,usd,31740.94072516695,604926607440.7722,34891305294.623,31-05-2022
49,vef,3178.220394810973,60571301203.04457,3493666399.1506085,31-05-2022
50,vnd,735765934.891376,1.4022407045781934e+16,808792470329144.0,31-05-2022
51,xag,1447.3780096042092,27595759751.81182,1591033751.8693256,31-05-2022
52,xau,17.13122052818711,326478890.03578395,18831535.293613933,31-05-2022
53,xdr,23016.78446215119,438659504752.6388,25301255577.8694,31-05-2022
54,xlm,221038.18309815938,4222914251313.876,242976753430.99307,31-05-2022
55,xrp,75835.51631108185,1445293225149.4001,83362373368.07547,31-05-2022
56,yfi,3.785322799927519,72067196.73665063,4161025.1754840994,31-05-2022
57,zar,491720.9727273655,9371160046507.98,540525459776.185,31-05-2022
58,bits,1000041.9697914799,19051432842464.863,1099298536157.2692,31-05-2022
59,link,4255.428095421796,81092878347.12982,4677789550.167689,31-05-2022
60,sats,100004196.97914799,1905143284246486.0,109929853615726.9,31-05-2022
