,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
43,52,covergirl,CoverGirl Professional Mascara Curved Brush Black Brown,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/c7fe159f81fff4e0b8269782b20048ac_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-professional-mascara_97245.html,https://well.ca,"Volumize, lengthen and define like a pro! CoverGirl Professional 3-in-1 mascara for all day beautiful lashes. The curved brush finds lashes you didn't know you had, for a volumized, long, defined lash look without the clumps or blobs.Features:Volume + length + definition in one easy stepHypoallergenic and suitable for contact lens wearersLash volume without clumpsApplication Tips: Hold brush as close as possible to base of lashes, and wiggle it as you move it up through lashes.",,,mascara,[],2016-10-01T18:11:46.356Z,2017-12-23T20:31:52.960Z,https://makeup-api.herokuapp.com/api/v1/products/52.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/052/original/data?1514061112,[]
44,49,covergirl,CoverGirl LashBlast Fusion Water Resistant Mascara ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/e4bd2eaff5e2b0c9c8c29ecd86d0c7e6_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-lashblast-fusion-water_74846.html,https://well.ca,"CoverGirl LashBlast Fusion Water Resistant Mascara has a fiberstrech lengthening formula and super-volumizing brush that thickens and extends each individual lash for high volume, length and perfect
 separation rain or shine.Features:Super volumizing and buildable fiber-strength lengtheningThickens and extends the look of your bare lashesWater resistant",4.8,,mascara,[],2016-10-01T18:11:42.574Z,2017-12-23T20:50:54.311Z,https://makeup-api.herokuapp.com/api/v1/products/49.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/049/original/data?1514062254,[]
45,46,covergirl,CoverGirl LastBlast Clump Crusher Water Resistant Mascara ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/b02f002545c5dc18be53297faaf04b7a_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-lastblast-clump-crusher_74595.html,https://well.ca,"A breakthrough in no-clump mascara! Get 200% more volume and zero 
clumps. Features an innovative double-sided brush with lash-loading and 
clump-combing zones to crush clumps.Features: 200% more volume, zero clumpsInnovative curved brushSuper-volumized, beautifully separated lashesWater resistant",5.0,,mascara,[],2016-10-01T18:11:38.634Z,2017-12-23T20:50:54.935Z,https://makeup-api.herokuapp.com/api/v1/products/46.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/046/original/data?1514062254,[]
46,44,covergirl,CoverGirl LashBlast Full Lash Bloom Mascara Very Black (800),9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/bd505b8626119f31924057a086e542bf_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/covergirl-lashblast-full-lash-bloom_103273.html,https://well.ca,"With CoverGirl Full Lash Bloom Mascara, get exceptional lash fullness that's soft - even to the touch. With CoverGirl's petal-shaped brush and mousse formula with natural beeswax, lashes are never stiff or brittle. Perfect for everyday wear, Full Lash Bloom Mascara is also safe for contact lens wearers and is ophthalmologically tested. So bring out every last lash, and embrace you in full bloom!Features: Gives soft, full lashes that are never stiff or brittle.Petal shaped brush and soft, mousse formula, with natural beeswax, brings out every lashOphthalmologically tested and suitable for contact lens wearersIngredients: Water/Eau, Beeswax/Cire D'Abeille, Cetearyl Alcohol, Shellac, Copernicia Cerifera (Carnauba) Wax/Cire De Carnauba, Ceteareth-20, Glycerin, Tapioca Starch, Lecithin, Ethylhexylglycerin, Alcohol Denat., Phenoxyethanol, Benzyl Alcohol, Xanthan Gum, Ammonium Hydroxide, Sodium Gluconate May Contain: Titanium Dioxide, Iron Oxides",4.0,,mascara,[],2016-10-01T18:11:36.863Z,2017-12-23T20:50:53.772Z,https://makeup-api.herokuapp.com/api/v1/products/44.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/044/original/data?1514062253,[]
47,43,covergirl,CoverGirl Professional Super Thick Lash Mascara Very Black,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/cb7bdcebdc593ba34c0f40b41a3ff44c_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-professional-super-thick_97251.html,https://well.ca,"Get beautiful, thick, high-impact lashes with COVERGIRL professional super thick lash mascara! The brush separates, defines, and reaches those little lashes so you get bold, defined lashes so easy, so beautiful!Features:Bold, defined volumeSeparates and defines lashesLasts all dayApplication Tips: Hold brush as close as possible to base of lashes, and wiggle it as you move it up through lashes.",5.0,,mascara,[],2016-10-01T18:11:36.172Z,2017-12-23T20:50:53.675Z,https://makeup-api.herokuapp.com/api/v1/products/43.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/043/original/data?1514062253,[]
48,40,covergirl,CoverGirl Professional Waterproof Mascara Very Black,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/d44d5338e9dfa2b5234a02d25af64a26_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-professional-waterproof_97253.html,https://well.ca,"Volumize, lengthen and define like a pro! CoverGirl Professional 3-in-1 mascara for all day beautiful lashes.Features:Volume + length + definition in one easy stepHypoallergenic and suitable for contact lens wearersWaterproofApplication Tips: Hold brush as close as possible to base of lashes, and wiggle it as you move it up through lashes.",,,mascara,[],2016-10-01T18:11:32.686Z,2017-12-23T20:50:53.262Z,https://makeup-api.herokuapp.com/api/v1/products/40.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/040/original/data?1514062253,[]
49,35,covergirl,CoverGirl Lashblast Volume Blasting Waterproof Mascara,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/527f52aaaba663227d70de7c0a34ff80_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/covergirl-lashblast-volume-blasting_74927.html,https://well.ca,"Get a blast of lush, volumized lashes! LashBlast’s patented 
volume-boosting formula and patent-pending brush are designed to max-out
 each and every lash, leaving you with the ultimate big lash look.Features: Instant volume and fullnessSmudge and smear-proofHypoallergenic and suitable for contact lens wearers",5.0,,mascara,[],2016-10-01T18:11:25.863Z,2017-12-23T20:31:52.669Z,https://makeup-api.herokuapp.com/api/v1/products/35.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/035/original/data?1514061112,[]
50,34,covergirl,CoverGirl LashBlast Fusion Mascara ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/fcd915ee80b8b9cfaa71225020b8df3b_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/covergirl-lashblast-fusion-mascara_74817.html,https://well.ca,"Experience COVERGIRL's first ever volume + length mascara!The 
fiberstretch formula and oversized brush make every little lash bigger, 
fuller, longer -looking and more dramatic.* 							                     
       	
                                *vs bare lashesFeatures: Super-Volumizing + Buildable fiber-strength lengtheningThickens and extends the look of your natural lashes",4.8,,mascara,[],2016-10-01T18:11:24.749Z,2017-12-23T20:31:52.532Z,https://makeup-api.herokuapp.com/api/v1/products/34.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/034/original/data?1514061112,[]
51,33,covergirl,CoverGirl Professional Natural Lash Mascara Clear,6.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/fa655a2751adc3d38050d08325f2d97f_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-professional-natural-lash_97249.html,https://well.ca,"For natural beautiful looking lashes! The CoverGirl clear gel formula and curved brush separates lashes while conditioning. It helps tame unruly brows too!Features:Natural looking lashesBeautifully tamed browsLasts all dayApplication Tips: Hold brush as close as possible to base of lashes, and wiggle it as you move it up through lashes.",4.0,,mascara,[],2016-10-01T18:11:23.740Z,2017-12-23T20:31:52.411Z,https://makeup-api.herokuapp.com/api/v1/products/33.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/033/original/data?1514061112,[]
52,31,covergirl,CoverGirl LastBlast Clump Crusher Mascara ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/df2f212e8449edcaff4876f592c4311e_ra,w158,h184_pa,w158,h184.jpeg",https://well.ca/products/covergirl-lastblast-clump-crusher_74593.html,https://well.ca,"A breakthrough in no-clump mascara! Get 200% more volume and zero 
clumps. Features an innovative double-sided brush with lash-loading and 
clump-combing zones to crush clumps.Features: 200% more volume, zero clumpsInnovative curved brushSuper-volumized, beautifully separated lashes",4.5,,mascara,[],2016-10-01T18:11:21.909Z,2017-12-23T20:31:52.154Z,https://makeup-api.herokuapp.com/api/v1/products/31.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/031/original/data?1514061112,[]
53,6,covergirl,CoverGirl Lashblast Volume Blasting Mascara ,9.99,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/18790b1fce6ddd2c7c20e73ce964eadd_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/covergirl-lashblast-volume-blasting_74922.html,https://well.ca,"Get a blast of lush, volumized lashes! LashBlast’s patented 
volume-boosting formula and patent-pending brush are designed to max-out
 each and every lash, leaving you with the ultimate big lash look.Features: Instant volume and fullnessSmudge and smear-proofHypoallergenic and suitable for contact lens wearers",4.8,,mascara,[],2016-10-01T18:10:53.573Z,2017-12-23T20:31:47.348Z,https://makeup-api.herokuapp.com/api/v1/products/6.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/006/original/data?1514061107,[]
