,id,brand,name,price,price_sign,currency,image_link,product_link,website_link,description,rating,category,product_type,tag_list,created_at,updated_at,product_api_url,api_featured_image,product_colors
0,191,zorah,Zorah Liquid Liner,24.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/3dc157e4a7e28f90dbe7e9849ccfc87a_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/zorah-liquid-liner_99339.html,https://well.ca,"Zorah Liquid Liner gives you 12 hours of long-lasting intense color, is transfer-free (leaves no trace on crease above the eyelid) and has Pure Light Capture® minerals that deliver color and radiance. Silky lines and refreshingly light, Pure Argan eyeliner leaves a weightless feel on the eyelids.What look do you go for: the natural bronzed babe, tropical brights, or classic beauty? Try all three with this get the look with natural makeup piece found on our blog, The Well! Directions: Lightly trace the lash line. Repeat with a second layer to intensify. Make small dots from the outside working inward. Wait 3 seconds before opening eye so as to avoid streaking. Repeat line if necessary.Ingredients: Aqua, Hydrolyzed Corn Starch, Glyceryl Stearate Citrate, Argania Spinosa Kernel Oil*, Cucurbita Pepo (Pumpkin) Seed Oil*, Glycerin,  Silica, Copernicia Cerifera (Carnauba) Wax*, Hectorite, Sodium Phytate, Sodium Citrate, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Dehydroacetic Acid. [+/-(peut contenir/may contain) Iron Oxides,Mica, Ultramarines, Bismuth Oxychloride.]Tested dermatologically and ophthalmologically.Certified by Ecocert Greenlife: 98% of the total ingredients are from 
natural origin, 5% of total ingredients are from organic farming",3.3,liquid,eyeliner,"['Natural', 'Organic', 'Vegan', 'Gluten Free', 'Canadian']",2016-10-01T18:28:07.638Z,2017-12-23T20:51:18.506Z,https://makeup-api.herokuapp.com/api/v1/products/191.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/191/original/data?1514062278,"[{'hex_value': '#000000', 'colour_name': 'Black '}, {'hex_value': '#74482f', 'colour_name': 'Brown '}]"
1,50,zorah,Zorah Mascara Lengthing,27.0,,,"https://d3t32hsnjxo7q6.cloudfront.net/i/dba2438dde72fe06c8f7a672b9618b0a_ra,w158,h184_pa,w158,h184.jpg",https://well.ca/products/zorah-mascara-lengthing_99331.html,https://well.ca,"This lengthening mascara is made with a unique combination of intense black pure mineral pigments and organic Argan oil to perfectly coat and shape lashes. The twin helix brush and its 3D spheres perfectly sculpt each lash with a full 360° coverage.Opthalmologically tested. Suitable for use with contact lenses. Fast drying.Organic cosmetic certified by Ecocert Greenlife:97% of the total ingredients are from natural origin18% of total ingredients are from organic farmingDirections: For a lengthening and curvaceous effect, apply the Lengthening Treatment Mascara at the lash base zigzagging upwards. Repeat with a second layer for intensity.Ingredients: Aqua, Alcohol Denat.**, Cetearyl olivate, Sorbitan olivate, Cetyl Palmitate, Sorbitan Palmitate, Copernicia Cerifera (Carnauba) Wax*, Cera Alba*, Glycerin, Magnesium Silicate, Argania Spinosa Kernel Oil*, Cucurbita Pepo (Pumpkin) Seed Oil*, Aroma, Sodium Phytate, Sodium Citrate, Benzyl Alcohol, Salicylic Acid, Sorbic Acid, Dehydroacetic Acid, Sodium Hydroxide, Xanthan Gum. [+/-(peut contenir/may contain) Iron Oxides](peut contenir/may contain) Iron Oxides]",4.8,,mascara,"['Natural', 'Organic', 'Gluten Free', 'Canadian']",2016-10-01T18:11:43.566Z,2017-12-23T20:50:54.486Z,https://makeup-api.herokuapp.com/api/v1/products/50.json,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/050/original/data?1514062254,[]
